# Frame	Tilt angle
1	63.0501030459
2	62.8152261885
3	64.7363102723
4	65.8238148404
5	61.9631645257
6	60.9072457437
7	62.4030260762
8	59.803400592
9	60.7932604698
10	62.3619464266
11	61.6594227978
12	63.4789431768
13	63.2623422756
14	61.768727864
15	62.7596762604
16	62.4550589689
17	64.9667801061
18	64.866373077
19	64.6234363772
20	64.1586543226
21	63.0501030459
22	62.8152261885
23	64.7363102723
24	65.8238148404
25	61.9631645257
26	60.9072457437
27	62.4030260762
28	59.803400592
29	60.7932604698
30	62.3619464266
31	61.6594227978
32	63.4789431768
33	63.2623422756
34	61.768727864
35	62.7596762604
36	62.4550589689
37	64.9667801061
38	64.866373077
39	64.6234363772
40	64.1586543226
41	58.6031884379
42	60.082780791
43	56.2800910461
44	60.0238923291
45	62.0252173867
46	62.3522250246
47	61.5131512442
48	62.3524893667
49	62.8405821015
50	65.1714525263
51	65.7560715069
52	64.4155781875
53	63.768870441
54	63.1449418886
55	62.7761689168
56	62.2989402251
57	63.1212898703
58	60.4058157388
59	62.9997844733
60	59.5015292263
61	60.4863949344
62	59.6010944724
63	60.7489002706
64	61.8658799889
65	57.7100073006
66	58.372135864
67	57.5206095786
68	59.5735576148
69	61.0733923124
70	61.6540099859
71	63.21815104
72	63.0274352096
73	63.8229106638
74	62.2278609813
75	63.6280202894
76	62.6310484883
77	63.1790032251
78	62.9302301811
79	64.8557304415
80	67.1326263857
