# Frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
2	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
3	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
4	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
5	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
6	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
7	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
8	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
9	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
10	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
11	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
12	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
13	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
14	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
15	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
16	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
17	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
18	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
19	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
20	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
21	92.8931	92.8931	82.5655	90.0	90.0	90.0	712468.01861
22	92.7603	92.7603	82.4446	90.0	90.0	90.0	709392.106647
23	92.7565	92.7565	82.4961	90.0	90.0	90.0	709777.717377
24	92.8409	92.8409	82.3958	90.0	90.0	90.0	710205.266843
25	92.8548	92.8548	82.3702	90.0	90.0	90.0	710196.145393
26	92.8144	92.8144	82.6268	90.0	90.0	90.0	711789.353135
27	92.8075	92.8075	82.6109	90.0	90.0	90.0	711546.068408
28	92.7111	92.7111	82.7295	90.0	90.0	90.0	711088.394326
29	92.6309	92.6309	82.561	90.0	90.0	90.0	708413.427968
30	92.6754	92.6754	82.6244	90.0	90.0	90.0	709638.331869
31	92.7681	92.7681	82.7431	90.0	90.0	90.0	712080.509225
32	92.7453	92.7453	82.9843	90.0	90.0	90.0	713805.769998
33	92.6943	92.6943	82.8874	90.0	90.0	90.0	712187.731852
34	92.5228	92.5228	83.1467	90.0	90.0	90.0	711774.886911
35	92.5775	92.5775	83.1056	90.0	90.0	90.0	712263.967585
36	92.5016	92.5016	83.0956	90.0	90.0	90.0	711011.377875
37	92.6441	92.6441	83.2541	90.0	90.0	90.0	714564.610164
38	92.7176	92.7176	83.2302	90.0	90.0	90.0	715493.44012
39	92.73	92.73	83.0781	90.0	90.0	90.0	714375.698373
40	92.6315	92.6315	83.106	90.0	90.0	90.0	713099.239051
41	92.7724	92.7724	83.0672	90.0	90.0	90.0	714935.535302
42	92.7126	92.7126	83.1058	90.0	90.0	90.0	714346.416045
43	92.718	92.718	83.3362	90.0	90.0	90.0	716410.240034
44	92.6582	92.6582	83.2915	90.0	90.0	90.0	715103.658613
45	92.6793	92.6793	83.3716	90.0	90.0	90.0	716116.10031
46	92.5978	92.5978	83.3353	90.0	90.0	90.0	714546.612456
47	92.5477	92.5477	83.3428	90.0	90.0	90.0	713837.302334
48	92.581	92.581	83.3746	90.0	90.0	90.0	714623.518131
49	92.6165	92.6165	83.6742	90.0	90.0	90.0	717741.271003
50	92.5686	92.5686	83.707	90.0	90.0	90.0	717281.508377
51	92.4976	92.4976	83.5137	90.0	90.0	90.0	714526.13568
52	92.6303	92.6303	83.3989	90.0	90.0	90.0	715594.723204
53	92.5909	92.5909	83.32	90.0	90.0	90.0	714308.494966
54	92.5033	92.5033	83.1721	90.0	90.0	90.0	711692.093485
55	92.5184	92.5184	83.2906	90.0	90.0	90.0	712938.456399
56	92.6084	92.6084	83.2101	90.0	90.0	90.0	713635.738409
57	92.5612	92.5612	83.2855	90.0	90.0	90.0	713555.774263
58	92.5991	92.5991	83.2505	90.0	90.0	90.0	713838.51717
59	92.4673	92.4673	83.1862	90.0	90.0	90.0	711258.783654
60	92.4458	92.4458	83.2823	90.0	90.0	90.0	711749.897542
61	92.4054	92.4054	83.1562	90.0	90.0	90.0	710051.073777
62	92.5652	92.5652	83.1965	90.0	90.0	90.0	712854.585645
63	92.5099	92.5099	83.0814	90.0	90.0	90.0	711017.011735
64	92.4776	92.4776	83.0743	90.0	90.0	90.0	710459.920576
65	92.7327	92.7327	83.1604	90.0	90.0	90.0	715125.521435
66	92.6965	92.6965	83.1736	90.0	90.0	90.0	714680.617198
67	92.662	92.662	83.1409	90.0	90.0	90.0	713867.506081
68	92.6977	92.6977	83.0886	90.0	90.0	90.0	713968.571449
69	92.5604	92.5604	83.1054	90.0	90.0	90.0	712000.014741
70	92.5178	92.5178	83.1457	90.0	90.0	90.0	711689.381429
