# Frame	Tilt angle
1	53.1973675868
2	53.4573645127
3	54.8520666859
4	54.4559641642
5	54.4533446573
6	52.3815534098
7	52.7556882918
8	52.5449805665
9	52.5718137776
10	53.3197991064
11	53.90608481
12	54.4812563065
13	53.167240184
14	52.883973778
15	53.0603017552
16	53.1886769138
17	54.6870850105
18	53.7696244123
19	53.6003787398
20	54.399640803
21	53.1973675868
22	53.4573645127
23	54.8520666859
24	54.4559641642
25	54.4533446573
26	52.3815534098
27	52.7556882918
28	52.5449805665
29	52.5718137776
30	53.3197991064
31	53.90608481
32	54.4812563065
33	53.167240184
34	52.883973778
35	53.0603017552
36	53.1886769138
37	54.6870850105
38	53.7696244123
39	53.6003787398
40	54.399640803
41	46.4640171222
42	47.5552470708
43	45.66041677
44	48.0978193169
45	48.7630198635
46	48.849460597
47	48.2775490547
48	47.6909693832
49	48.5859976694
50	48.7353975458
51	48.8747544779
52	48.3803156219
53	47.7862609058
54	48.6465824817
55	49.2000297001
56	48.7370861708
57	49.4429570435
58	48.5378047848
59	47.0134517152
60	47.206077896
61	48.6022204015
62	48.9650133705
63	49.9226849915
64	50.4281184056
65	48.7162763146
66	47.9837370698
67	48.9658857741
68	49.4913251495
69	49.9822944814
70	51.352785887
71	51.6007678838
72	51.3697743745
73	51.6612076578
74	52.1485584191
75	51.0290485999
76	50.7323907433
77	51.5377886876
78	51.84431574
79	51.9038902443
80	52.7931651925
81	52.8450564532
82	52.289539007
83	52.3703361455
84	52.5536229729
85	51.4440710209
86	52.4957880327
87	52.9283421406
88	52.9326614116
89	51.2653043282
90	53.1466516404
91	52.2963517806
92	51.7261350745
93	53.1026926373
94	53.0628053125
95	52.4082235694
96	51.398640245
97	52.3709789897
98	51.5341253941
99	52.3266846677
100	51.1227747153
101	50.5567867944
102	51.1979850945
103	49.9758561511
104	50.3457918892
105	50.078625798
106	48.9606133401
107	50.3000913972
108	50.3197106618
109	50.452602538
110	49.3846697949
111	50.7118374525
112	49.7738221186
113	50.3837979368
114	49.4361766802
115	49.5120688315
116	48.5622221916
117	47.2393220125
118	46.8636081898
119	47.5310264722
120	47.4601560226
121	49.2010855563
122	47.6201109914
123	48.6220348736
124	48.5649465836
125	48.9349904141
126	51.0472658645
127	51.6935838023
128	50.022669676
129	50.7729423391
130	49.7593920509
131	50.1276249993
132	51.0200050493
133	51.7127413446
134	52.0726749245
135	51.0974178661
136	50.7038451381
137	49.1088899468
138	50.5197787114
139	51.6202065598
140	52.1274758016
