# Frame	Tilt angle
1	58.9715374548
2	59.2418043389
3	55.6605056468
4	62.7928127273
5	51.360853448
6	61.9394832105
7	56.4048832302
8	57.1223025856
9	61.2730584975
10	56.5809525187
11	62.9583121436
12	61.4409646589
13	63.244578602
14	59.5454071075
15	57.2531793733
16	64.642922866
17	67.2225892843
18	66.031963424
19	66.3722161067
20	66.1036778052
21	58.9715374548
22	59.2418043389
23	55.6605056468
24	62.7928127273
25	51.360853448
26	61.9394832105
27	56.4048832302
28	57.1223025856
29	61.2730584975
30	56.5809525187
31	62.9583121436
32	61.4409646589
33	63.244578602
34	59.5454071075
35	57.2531793733
36	64.642922866
37	67.2225892843
38	66.031963424
39	66.3722161067
40	66.1036778052
41	63.9054457721
42	64.2869611116
43	61.1613133247
44	62.7483851025
45	56.760048551
46	58.8932772529
47	56.7084886264
48	67.1431804263
49	62.4860486441
50	61.1289221554
51	60.419840061
52	64.8948346703
53	60.5716321886
54	67.271906815
55	70.2899276174
56	65.7399511651
57	64.9660364482
58	66.6786030409
59	57.2498739649
60	62.1138708401
