# Frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
2	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
3	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
4	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
5	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
6	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
7	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
8	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
9	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
10	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
11	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
12	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
13	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
14	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
15	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
16	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
17	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
18	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
19	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
20	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
21	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
22	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
23	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
24	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
25	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
26	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
27	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
28	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
29	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
30	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
31	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
32	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
33	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
34	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
35	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
36	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
37	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
38	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
39	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
