# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
2	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
4	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
6	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
8	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
10	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
12	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
14	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
16	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
18	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
20	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
