# ps/frame	Tilt angle
2	59.9867204667
4	60.1894102836
6	62.0247511321
8	62.8988061732
10	59.6273365595
12	57.8631904483
14	59.6052133968
16	57.3571561505
18	57.7463689468
20	59.7131698464
22	59.0277245205
24	61.1204262828
26	60.0247366027
28	58.8308749516
30	59.8487218187
32	59.3722423323
34	61.7485371811
36	61.8231252377
38	61.0160423212
40	61.1923967112
42	59.9867204667
44	60.1894102836
46	62.0247511321
48	62.8988061732
50	59.6273365595
52	57.8631904483
54	59.6052133968
56	57.3571561505
58	57.7463689468
60	59.7131698464
62	59.0277245205
64	61.1204262828
66	60.0247366027
68	58.8308749516
70	59.8487218187
72	59.3722423323
74	61.7485371811
76	61.8231252377
78	61.0160423212
80	61.1923967112
82	59.9867204667
84	60.1894102836
86	62.0247511321
88	62.8988061732
90	59.6273365595
92	57.8631904483
94	59.6052133968
96	57.3571561505
98	57.7463689468
100	59.7131698464
102	59.0277245205
104	61.1204262828
106	60.0247366027
108	58.8308749516
110	59.8487218187
112	59.3722423323
114	61.7485371811
116	61.8231252377
118	61.0160423212
120	61.1923967112
122	59.9867204667
124	60.1894102836
126	62.0247511321
128	62.8988061732
130	59.6273365595
132	57.8631904483
134	59.6052133968
136	57.3571561505
138	57.7463689468
140	59.7131698464
142	59.0277245205
144	61.1204262828
146	60.0247366027
148	58.8308749516
150	59.8487218187
152	59.3722423323
154	61.7485371811
156	61.8231252377
158	61.0160423212
160	61.1923967112
162	59.9867204667
164	60.1894102836
166	62.0247511321
168	62.8988061732
170	59.6273365595
172	57.8631904483
174	59.6052133968
176	57.3571561505
178	57.7463689468
180	59.7131698464
182	59.0277245205
184	61.1204262828
186	60.0247366027
188	58.8308749516
190	59.8487218187
192	59.3722423323
194	61.7485371811
196	61.8231252377
198	61.0160423212
200	61.1923967112
202	59.9867204667
204	60.1894102836
206	62.0247511321
208	62.8988061732
210	59.6273365595
212	57.8631904483
214	59.6052133968
216	57.3571561505
218	57.7463689468
220	59.7131698464
222	59.0277245205
224	61.1204262828
226	60.0247366027
228	58.8308749516
230	59.8487218187
232	59.3722423323
234	61.7485371811
236	61.8231252377
238	61.0160423212
240	61.1923967112
242	59.9867204667
244	60.1894102836
246	62.0247511321
248	62.8988061732
250	59.6273365595
252	57.8631904483
254	59.6052133968
256	57.3571561505
258	57.7463689468
260	59.7131698464
262	59.0277245205
264	61.1204262828
266	60.0247366027
268	58.8308749516
270	59.8487218187
272	59.3722423323
274	61.7485371811
276	61.8231252377
278	61.0160423212
280	61.1923967112
282	59.9867204667
284	60.1894102836
286	62.0247511321
288	62.8988061732
290	59.6273365595
292	57.8631904483
294	59.6052133968
296	57.3571561505
298	57.7463689468
300	59.7131698464
302	59.0277245205
304	61.1204262828
306	60.0247366027
308	58.8308749516
310	59.8487218187
312	59.3722423323
314	61.7485371811
316	61.8231252377
318	61.0160423212
320	61.1923967112
322	59.9867204667
324	60.1894102836
326	62.0247511321
328	62.8988061732
330	59.6273365595
332	57.8631904483
334	59.6052133968
336	57.3571561505
338	57.7463689468
340	59.7131698464
342	59.0277245205
344	61.1204262828
346	60.0247366027
348	58.8308749516
350	59.8487218187
352	59.3722423323
354	61.7485371811
356	61.8231252377
358	61.0160423212
360	61.1923967112
362	59.9867204667
364	60.1894102836
366	62.0247511321
368	62.8988061732
370	59.6273365595
372	57.8631904483
374	59.6052133968
376	57.3571561505
378	57.7463689468
380	59.7131698464
382	59.0277245205
384	61.1204262828
386	60.0247366027
388	58.8308749516
390	59.8487218187
392	59.3722423323
394	61.7485371811
396	61.8231252377
398	61.0160423212
400	61.1923967112
402	59.9867204667
404	60.1894102836
406	62.0247511321
408	62.8988061732
410	59.6273365595
412	57.8631904483
414	59.6052133968
416	57.3571561505
418	57.7463689468
420	59.7131698464
422	59.0277245205
424	61.1204262828
426	60.0247366027
428	58.8308749516
430	59.8487218187
432	59.3722423323
434	61.7485371811
436	61.8231252377
438	61.0160423212
440	61.1923967112
442	59.9867204667
444	60.1894102836
446	62.0247511321
448	62.8988061732
450	59.6273365595
452	57.8631904483
454	59.6052133968
456	57.3571561505
458	57.7463689468
460	59.7131698464
462	59.0277245205
464	61.1204262828
466	60.0247366027
468	58.8308749516
470	59.8487218187
472	59.3722423323
474	61.7485371811
476	61.8231252377
478	61.0160423212
480	61.1923967112
482	59.9867204667
484	60.1894102836
486	62.0247511321
488	62.8988061732
490	59.6273365595
492	57.8631904483
494	59.6052133968
496	57.3571561505
498	57.7463689468
500	59.7131698464
502	59.0277245205
504	61.1204262828
506	60.0247366027
508	58.8308749516
510	59.8487218187
512	59.3722423323
514	61.7485371811
516	61.8231252377
518	61.0160423212
520	61.1923967112
522	59.9867204667
524	60.1894102836
526	62.0247511321
528	62.8988061732
530	59.6273365595
532	57.8631904483
534	59.6052133968
536	57.3571561505
538	57.7463689468
540	59.7131698464
542	59.0277245205
544	61.1204262828
546	60.0247366027
548	58.8308749516
550	59.8487218187
552	59.3722423323
554	61.7485371811
556	61.8231252377
558	61.0160423212
560	61.1923967112
562	59.9867204667
564	60.1894102836
566	62.0247511321
568	62.8988061732
570	59.6273365595
572	57.8631904483
574	59.6052133968
576	57.3571561505
578	57.7463689468
580	59.7131698464
582	59.0277245205
584	61.1204262828
586	60.0247366027
588	58.8308749516
590	59.8487218187
592	59.3722423323
594	61.7485371811
596	61.8231252377
598	61.0160423212
600	61.1923967112
602	59.9867204667
604	60.1894102836
606	62.0247511321
608	62.8988061732
610	59.6273365595
612	57.8631904483
614	59.6052133968
616	57.3571561505
618	57.7463689468
620	59.7131698464
622	59.0277245205
624	61.1204262828
626	60.0247366027
628	58.8308749516
630	59.8487218187
632	59.3722423323
634	61.7485371811
636	61.8231252377
638	61.0160423212
640	61.1923967112
642	59.9867204667
644	60.1894102836
646	62.0247511321
648	62.8988061732
650	59.6273365595
652	57.8631904483
654	59.6052133968
656	57.3571561505
658	57.7463689468
660	59.7131698464
662	59.0277245205
664	61.1204262828
666	60.0247366027
668	58.8308749516
670	59.8487218187
672	59.3722423323
674	61.7485371811
676	61.8231252377
678	61.0160423212
680	61.1923967112
682	59.9867204667
684	60.1894102836
686	62.0247511321
688	62.8988061732
690	59.6273365595
692	57.8631904483
694	59.6052133968
696	57.3571561505
698	57.7463689468
700	59.7131698464
702	59.0277245205
704	61.1204262828
706	60.0247366027
708	58.8308749516
710	59.8487218187
712	59.3722423323
714	61.7485371811
716	61.8231252377
718	61.0160423212
720	61.1923967112
722	59.9867204667
724	60.1894102836
726	62.0247511321
728	62.8988061732
730	59.6273365595
732	57.8631904483
734	59.6052133968
736	57.3571561505
738	57.7463689468
740	59.7131698464
742	59.0277245205
744	61.1204262828
746	60.0247366027
748	58.8308749516
750	59.8487218187
752	59.3722423323
754	61.7485371811
756	61.8231252377
758	61.0160423212
760	61.1923967112
762	59.9867204667
764	60.1894102836
766	62.0247511321
768	62.8988061732
770	59.6273365595
772	57.8631904483
774	59.6052133968
776	57.3571561505
778	57.7463689468
780	59.7131698464
782	59.0277245205
784	61.1204262828
786	60.0247366027
788	58.8308749516
790	59.8487218187
792	59.3722423323
794	61.7485371811
796	61.8231252377
798	61.0160423212
800	61.1923967112
802	59.9867204667
804	60.1894102836
806	62.0247511321
808	62.8988061732
810	59.6273365595
812	57.8631904483
814	59.6052133968
816	57.3571561505
818	57.7463689468
820	59.7131698464
822	59.0277245205
824	61.1204262828
826	60.0247366027
828	58.8308749516
830	59.8487218187
832	59.3722423323
834	61.7485371811
836	61.8231252377
838	61.0160423212
840	61.1923967112
842	59.9867204667
844	60.1894102836
846	62.0247511321
848	62.8988061732
850	59.6273365595
852	57.8631904483
854	59.6052133968
856	57.3571561505
858	57.7463689468
860	59.7131698464
862	59.0277245205
864	61.1204262828
866	60.0247366027
868	58.8308749516
870	59.8487218187
872	59.3722423323
874	61.7485371811
876	61.8231252377
878	61.0160423212
880	61.1923967112
882	54.0193617868
884	55.5382079417
886	52.1179964837
888	55.3563684462
890	57.2849443345
892	57.5214866046
894	56.8263022257
896	57.9059400511
898	58.2305833513
900	60.215781768
902	60.5222858765
904	59.5228826614
906	58.7826070088
908	58.607266565
910	58.3203472628
912	57.9940664929
914	59.4833074806
916	56.6040497369
918	58.1773333503
920	54.9420108871
922	56.1197185036
924	55.9270013254
926	57.0383949077
928	58.0319362439
930	53.856995811
932	54.4833886325
934	53.7443233461
936	55.6868544065
938	57.3706368415
940	58.5505188026
942	59.8336220272
944	59.1680782926
946	60.0908257985
948	58.9467081592
950	59.9396454559
952	58.6701293283
954	59.5598039371
956	58.9843719832
958	60.3618917084
960	63.2718361549
962	62.9965686053
964	64.8455894135
966	62.1376621189
968	63.2009276292
970	61.0546507172
972	62.1563576021
974	62.5618369095
976	63.3306051948
978	60.0338237905
980	61.4627914756
982	61.8026771317
984	59.7925139601
986	59.0696996466
988	61.993860588
990	59.8660394405
992	59.2637279253
994	58.5886464133
996	59.1339331725
998	60.0983743513
1000	57.9771623546
1002	56.6872841971
1004	59.3675041618
1006	58.0663771569
1008	57.1971344492
1010	58.2589539028
1012	57.6813634021
1014	59.7409609318
1016	59.7958807326
1018	60.8727607707
1020	58.9351444002
1022	58.1587021289
1024	58.6340406168
1026	58.8642470519
1028	57.2865387479
1030	58.019288915
1032	57.0789939531
1034	56.8146562067
1036	54.8787925995
1038	53.8783180818
1040	54.0654016874
1042	55.6867848606
1044	54.6413874629
1046	56.0113123964
1048	54.2850596588
1050	56.8471555941
1052	60.6501318147
1054	60.7904454219
1056	57.8606037596
1058	57.7320212142
1060	57.5216279453
1062	59.0252129751
1064	58.5287722764
1066	60.7028495887
1068	61.6100660633
1070	61.6488522229
1072	61.6054912076
1074	59.6535370362
1076	61.6141992134
1078	61.9454615124
1080	60.8839534003
1082	61.6651242334
1084	63.3959885169
1086	60.7187470236
1088	55.4441542181
1090	55.9405726408
1092	58.0728584207
1094	59.2352339119
1096	56.8560557562
1098	57.6313168293
1100	57.4923661154
1102	57.3546869047
1104	55.5839875971
1106	56.7701486908
1108	57.5375034668
1110	57.8381287293
1112	58.5208824655
1114	57.2755860361
1116	55.6417491242
1118	59.2477101087
1120	59.0576993045
1122	59.6722020141
1124	59.2343964215
1126	55.56272818
1128	56.6288960673
1130	57.1277901103
1132	56.7103177067
1134	56.8159573648
1136	55.7951829943
1138	56.9546221875
1140	56.7076155401
1142	55.873715413
1144	55.9654814517
1146	55.1764720724
1148	57.0379129039
1150	54.9363968148
1152	55.5743465156
1154	56.3945610675
1156	54.3278870279
1158	56.0426024105
1160	54.8371017598
1162	52.8097884575
1164	52.3161637559
1166	54.378032229
1168	53.6534229954
1170	53.5693047864
1172	54.4076894705
1174	52.9383397546
1176	53.8863371185
1178	55.3692375603
1180	52.1250086333
1182	52.312177568
1184	55.0967454619
1186	53.4588556721
1188	55.8267711011
1190	53.00956935
1192	52.190556702
1194	52.3477990596
1196	52.1349226502
1198	53.9723768458
1200	52.7979385471
1202	51.2531673248
1204	54.0511597315
1206	53.2616498423
1208	54.1184598512
1210	51.7105894563
1212	52.2944813556
1214	53.1559083976
1216	54.7586101315
1218	52.2076508628
1220	52.0480048003
1222	52.5596708196
1224	53.7904618147
1226	53.3210309983
1228	51.8619800716
1230	54.1546178172
1232	53.2267288666
1234	53.960378599
1236	53.8522119203
1238	55.6492233318
1240	56.9244102139
1242	59.9867204667
1244	60.1894102836
1246	62.0247511321
1248	62.8988061732
1250	59.6273365595
1252	57.8631904483
1254	59.6052133968
1256	57.3571561505
1258	57.7463689468
1260	59.7131698464
1262	59.0277245205
1264	61.1204262828
1266	60.0247366027
1268	58.8308749516
1270	59.8487218187
1272	59.3722423323
1274	61.7485371811
1276	61.8231252377
1278	61.0160423212
1280	61.1923967112
1282	59.9867204667
1284	60.1894102836
1286	62.0247511321
1288	62.8988061732
1290	59.6273365595
1292	57.8631904483
1294	59.6052133968
1296	57.3571561505
1298	57.7463689468
1300	59.7131698464
1302	59.0277245205
1304	61.1204262828
1306	60.0247366027
1308	58.8308749516
1310	59.8487218187
1312	59.3722423323
1314	61.7485371811
1316	61.8231252377
1318	61.0160423212
1320	61.1923967112
1322	59.9867204667
1324	60.1894102836
1326	62.0247511321
1328	62.8988061732
1330	59.6273365595
1332	57.8631904483
1334	59.6052133968
1336	57.3571561505
1338	57.7463689468
1340	59.7131698464
1342	59.0277245205
1344	61.1204262828
1346	60.0247366027
1348	58.8308749516
1350	59.8487218187
1352	59.3722423323
1354	61.7485371811
1356	61.8231252377
1358	61.0160423212
1360	61.1923967112
1362	59.9867204667
1364	60.1894102836
1366	62.0247511321
1368	62.8988061732
1370	59.6273365595
1372	57.8631904483
1374	59.6052133968
1376	57.3571561505
1378	57.7463689468
1380	59.7131698464
1382	59.0277245205
1384	61.1204262828
1386	60.0247366027
1388	58.8308749516
1390	59.8487218187
1392	59.3722423323
1394	61.7485371811
1396	61.8231252377
1398	61.0160423212
1400	61.1923967112
1402	59.9867204667
1404	60.1894102836
1406	62.0247511321
1408	62.8988061732
1410	59.6273365595
1412	57.8631904483
1414	59.6052133968
1416	57.3571561505
1418	57.7463689468
1420	59.7131698464
1422	59.0277245205
1424	61.1204262828
1426	60.0247366027
1428	58.8308749516
1430	59.8487218187
1432	59.3722423323
1434	61.7485371811
1436	61.8231252377
1438	61.0160423212
1440	61.1923967112
1442	59.9867204667
1444	60.1894102836
1446	62.0247511321
1448	62.8988061732
1450	59.6273365595
1452	57.8631904483
1454	59.6052133968
1456	57.3571561505
1458	57.7463689468
1460	59.7131698464
1462	59.0277245205
1464	61.1204262828
1466	60.0247366027
1468	58.8308749516
1470	59.8487218187
1472	59.3722423323
1474	61.7485371811
1476	61.8231252377
1478	61.0160423212
1480	61.1923967112
1482	59.9867204667
1484	60.1894102836
1486	62.0247511321
1488	62.8988061732
1490	59.6273365595
1492	57.8631904483
1494	59.6052133968
1496	57.3571561505
1498	57.7463689468
1500	59.7131698464
1502	59.0277245205
1504	61.1204262828
1506	60.0247366027
1508	58.8308749516
1510	59.8487218187
1512	59.3722423323
1514	61.7485371811
1516	61.8231252377
1518	61.0160423212
1520	61.1923967112
1522	59.9867204667
1524	60.1894102836
1526	62.0247511321
1528	62.8988061732
1530	59.6273365595
1532	57.8631904483
1534	59.6052133968
1536	57.3571561505
1538	57.7463689468
1540	59.7131698464
1542	59.0277245205
1544	61.1204262828
1546	60.0247366027
1548	58.8308749516
1550	59.8487218187
1552	59.3722423323
1554	61.7485371811
1556	61.8231252377
1558	61.0160423212
1560	61.1923967112
1562	59.9867204667
1564	60.1894102836
1566	62.0247511321
1568	62.8988061732
1570	59.6273365595
1572	57.8631904483
1574	59.6052133968
1576	57.3571561505
1578	57.7463689468
1580	59.7131698464
1582	59.0277245205
1584	61.1204262828
1586	60.0247366027
1588	58.8308749516
1590	59.8487218187
1592	59.3722423323
1594	61.7485371811
1596	61.8231252377
1598	61.0160423212
1600	61.1923967112
1602	59.9867204667
1604	60.1894102836
1606	62.0247511321
1608	62.8988061732
1610	59.6273365595
1612	57.8631904483
1614	59.6052133968
1616	57.3571561505
1618	57.7463689468
1620	59.7131698464
1622	59.0277245205
1624	61.1204262828
1626	60.0247366027
1628	58.8308749516
1630	59.8487218187
1632	59.3722423323
1634	61.7485371811
1636	61.8231252377
1638	61.0160423212
1640	61.1923967112
