# ps/frame	Tilt angle
2	60.0005771089
4	59.9116107483
6	61.228445189
8	61.7118279562
10	60.9575939244
12	58.7073449614
14	59.4554078008
16	58.4691364178
18	58.3893407362
20	59.9574060843
22	60.1407875187
24	61.0275858693
26	59.5994185547
28	59.3754177499
30	59.1737249288
32	59.6706120906
34	61.1934075398
36	60.6821071761
38	59.9002014405
40	60.4800750289
42	60.0005771089
44	59.9116107483
46	61.228445189
48	61.7118279562
50	60.9575939244
52	58.7073449614
54	59.4554078008
56	58.4691364178
58	58.3893407362
60	59.9574060843
62	60.1407875187
64	61.0275858693
66	59.5994185547
68	59.3754177499
70	59.1737249288
72	59.6706120906
74	61.1934075398
76	60.6821071761
78	59.9002014405
80	60.4800750289
82	60.0005771089
84	59.9116107483
86	61.228445189
88	61.7118279562
90	60.9575939244
92	58.7073449614
94	59.4554078008
96	58.4691364178
98	58.3893407362
100	59.9574060843
102	60.1407875187
104	61.0275858693
106	59.5994185547
108	59.3754177499
110	59.1737249288
112	59.6706120906
114	61.1934075398
116	60.6821071761
118	59.9002014405
120	60.4800750289
122	60.0005771089
124	59.9116107483
126	61.228445189
128	61.7118279562
130	60.9575939244
132	58.7073449614
134	59.4554078008
136	58.4691364178
138	58.3893407362
140	59.9574060843
142	60.1407875187
144	61.0275858693
146	59.5994185547
148	59.3754177499
150	59.1737249288
152	59.6706120906
154	61.1934075398
156	60.6821071761
158	59.9002014405
160	60.4800750289
162	60.0005771089
164	59.9116107483
166	61.228445189
168	61.7118279562
170	60.9575939244
172	58.7073449614
174	59.4554078008
176	58.4691364178
178	58.3893407362
180	59.9574060843
182	60.1407875187
184	61.0275858693
186	59.5994185547
188	59.3754177499
190	59.1737249288
192	59.6706120906
194	61.1934075398
196	60.6821071761
198	59.9002014405
200	60.4800750289
202	60.0005771089
204	59.9116107483
206	61.228445189
208	61.7118279562
210	60.9575939244
212	58.7073449614
214	59.4554078008
216	58.4691364178
218	58.3893407362
220	59.9574060843
222	60.1407875187
224	61.0275858693
226	59.5994185547
228	59.3754177499
230	59.1737249288
232	59.6706120906
234	61.1934075398
236	60.6821071761
238	59.9002014405
240	60.4800750289
242	60.0005771089
244	59.9116107483
246	61.228445189
248	61.7118279562
250	60.9575939244
252	58.7073449614
254	59.4554078008
256	58.4691364178
258	58.3893407362
260	59.9574060843
262	60.1407875187
264	61.0275858693
266	59.5994185547
268	59.3754177499
270	59.1737249288
272	59.6706120906
274	61.1934075398
276	60.6821071761
278	59.9002014405
280	60.4800750289
282	60.0005771089
284	59.9116107483
286	61.228445189
288	61.7118279562
290	60.9575939244
292	58.7073449614
294	59.4554078008
296	58.4691364178
298	58.3893407362
300	59.9574060843
302	60.1407875187
304	61.0275858693
306	59.5994185547
308	59.3754177499
310	59.1737249288
312	59.6706120906
314	61.1934075398
316	60.6821071761
318	59.9002014405
320	60.4800750289
322	60.0005771089
324	59.9116107483
326	61.228445189
328	61.7118279562
330	60.9575939244
332	58.7073449614
334	59.4554078008
336	58.4691364178
338	58.3893407362
340	59.9574060843
342	60.1407875187
344	61.0275858693
346	59.5994185547
348	59.3754177499
350	59.1737249288
352	59.6706120906
354	61.1934075398
356	60.6821071761
358	59.9002014405
360	60.4800750289
362	60.0005771089
364	59.9116107483
366	61.228445189
368	61.7118279562
370	60.9575939244
372	58.7073449614
374	59.4554078008
376	58.4691364178
378	58.3893407362
380	59.9574060843
382	60.1407875187
384	61.0275858693
386	59.5994185547
388	59.3754177499
390	59.1737249288
392	59.6706120906
394	61.1934075398
396	60.6821071761
398	59.9002014405
400	60.4800750289
402	60.0005771089
404	59.9116107483
406	61.228445189
408	61.7118279562
410	60.9575939244
412	58.7073449614
414	59.4554078008
416	58.4691364178
418	58.3893407362
420	59.9574060843
422	60.1407875187
424	61.0275858693
426	59.5994185547
428	59.3754177499
430	59.1737249288
432	59.6706120906
434	61.1934075398
436	60.6821071761
438	59.9002014405
440	60.4800750289
442	60.0005771089
444	59.9116107483
446	61.228445189
448	61.7118279562
450	60.9575939244
452	58.7073449614
454	59.4554078008
456	58.4691364178
458	58.3893407362
460	59.9574060843
462	60.1407875187
464	61.0275858693
466	59.5994185547
468	59.3754177499
470	59.1737249288
472	59.6706120906
474	61.1934075398
476	60.6821071761
478	59.9002014405
480	60.4800750289
482	60.0005771089
484	59.9116107483
486	61.228445189
488	61.7118279562
490	60.9575939244
492	58.7073449614
494	59.4554078008
496	58.4691364178
498	58.3893407362
500	59.9574060843
502	60.1407875187
504	61.0275858693
506	59.5994185547
508	59.3754177499
510	59.1737249288
512	59.6706120906
514	61.1934075398
516	60.6821071761
518	59.9002014405
520	60.4800750289
522	60.0005771089
524	59.9116107483
526	61.228445189
528	61.7118279562
530	60.9575939244
532	58.7073449614
534	59.4554078008
536	58.4691364178
538	58.3893407362
540	59.9574060843
542	60.1407875187
544	61.0275858693
546	59.5994185547
548	59.3754177499
550	59.1737249288
552	59.6706120906
554	61.1934075398
556	60.6821071761
558	59.9002014405
560	60.4800750289
562	60.0005771089
564	59.9116107483
566	61.228445189
568	61.7118279562
570	60.9575939244
572	58.7073449614
574	59.4554078008
576	58.4691364178
578	58.3893407362
580	59.9574060843
582	60.1407875187
584	61.0275858693
586	59.5994185547
588	59.3754177499
