# ps/frame	Tilt angle
2	48.2051411102
4	48.5808442496
6	49.6826657814
8	48.9754155754
10	49.2255645578
12	47.4894268378
14	47.7315853451
16	47.7290857124
18	47.8707168623
20	48.2602405888
22	49.0712812917
24	49.4146925717
26	48.1933710004
28	47.918707117
30	48.3256263502
32	48.3012900245
34	49.8950165251
36	48.690352581
38	48.4262279198
40	49.382173825
42	48.2051411102
44	48.5808442496
46	49.6826657814
48	48.9754155754
50	49.2255645578
52	47.4894268378
54	47.7315853451
56	47.7290857124
58	47.8707168623
60	48.2602405888
62	49.0712812917
64	49.4146925717
66	48.1933710004
68	47.918707117
70	48.3256263502
72	48.3012900245
74	49.8950165251
76	48.690352581
78	48.4262279198
80	49.382173825
82	48.2051411102
84	48.5808442496
86	49.6826657814
88	48.9754155754
90	49.2255645578
92	47.4894268378
94	47.7315853451
96	47.7290857124
98	47.8707168623
100	48.2602405888
102	49.0712812917
104	49.4146925717
106	48.1933710004
108	47.918707117
110	48.3256263502
112	48.3012900245
114	49.8950165251
116	48.690352581
118	48.4262279198
120	49.382173825
122	48.2051411102
124	48.5808442496
126	49.6826657814
128	48.9754155754
130	49.2255645578
132	47.4894268378
134	47.7315853451
136	47.7290857124
138	47.8707168623
140	48.2602405888
142	49.0712812917
144	49.4146925717
146	48.1933710004
148	47.918707117
150	48.3256263502
152	48.3012900245
154	49.8950165251
156	48.690352581
158	48.4262279198
160	49.382173825
162	48.2051411102
164	48.5808442496
166	49.6826657814
168	48.9754155754
170	49.2255645578
172	47.4894268378
174	47.7315853451
176	47.7290857124
178	47.8707168623
180	48.2602405888
182	49.0712812917
184	49.4146925717
186	48.1933710004
188	47.918707117
190	48.3256263502
192	48.3012900245
194	49.8950165251
196	48.690352581
198	48.4262279198
200	49.382173825
202	48.2051411102
204	48.5808442496
206	49.6826657814
208	48.9754155754
210	49.2255645578
212	47.4894268378
214	47.7315853451
216	47.7290857124
218	47.8707168623
220	48.2602405888
222	49.0712812917
224	49.4146925717
226	48.1933710004
228	47.918707117
230	48.3256263502
232	48.3012900245
234	49.8950165251
236	48.690352581
238	48.4262279198
240	49.382173825
242	48.2051411102
244	48.5808442496
246	49.6826657814
248	48.9754155754
250	49.2255645578
252	47.4894268378
254	47.7315853451
256	47.7290857124
258	47.8707168623
260	48.2602405888
262	49.0712812917
264	49.4146925717
266	48.1933710004
268	47.918707117
270	48.3256263502
272	48.3012900245
274	49.8950165251
276	48.690352581
278	48.4262279198
280	49.382173825
282	48.2051411102
284	48.5808442496
286	49.6826657814
288	48.9754155754
290	49.2255645578
292	47.4894268378
294	47.7315853451
296	47.7290857124
298	47.8707168623
300	48.2602405888
302	49.0712812917
304	49.4146925717
306	48.1933710004
308	47.918707117
310	48.3256263502
312	48.3012900245
314	49.8950165251
316	48.690352581
318	48.4262279198
320	49.382173825
322	48.2051411102
324	48.5808442496
326	49.6826657814
328	48.9754155754
330	49.2255645578
332	47.4894268378
334	47.7315853451
336	47.7290857124
338	47.8707168623
340	48.2602405888
342	49.0712812917
344	49.4146925717
346	48.1933710004
348	47.918707117
350	48.3256263502
352	48.3012900245
354	49.8950165251
356	48.690352581
358	48.4262279198
360	49.382173825
362	48.2051411102
364	48.5808442496
366	49.6826657814
368	48.9754155754
370	49.2255645578
372	47.4894268378
374	47.7315853451
376	47.7290857124
378	47.8707168623
380	48.2602405888
382	49.0712812917
384	49.4146925717
386	48.1933710004
388	47.918707117
390	48.3256263502
392	48.3012900245
394	49.8950165251
396	48.690352581
398	48.4262279198
400	49.382173825
402	48.2051411102
404	48.5808442496
406	49.6826657814
408	48.9754155754
410	49.2255645578
412	47.4894268378
414	47.7315853451
416	47.7290857124
418	47.8707168623
420	48.2602405888
422	49.0712812917
424	49.4146925717
426	48.1933710004
428	47.918707117
430	48.3256263502
432	48.3012900245
434	49.8950165251
436	48.690352581
438	48.4262279198
440	49.382173825
442	48.2051411102
444	48.5808442496
446	49.6826657814
448	48.9754155754
450	49.2255645578
452	47.4894268378
454	47.7315853451
456	47.7290857124
458	47.8707168623
460	48.2602405888
462	49.0712812917
464	49.4146925717
466	48.1933710004
468	47.918707117
470	48.3256263502
472	48.3012900245
474	49.8950165251
476	48.690352581
478	48.4262279198
480	49.382173825
482	48.2051411102
484	48.5808442496
486	49.6826657814
488	48.9754155754
490	49.2255645578
492	47.4894268378
494	47.7315853451
496	47.7290857124
498	47.8707168623
500	48.2602405888
502	49.0712812917
504	49.4146925717
506	48.1933710004
508	47.918707117
510	48.3256263502
512	48.3012900245
514	49.8950165251
516	48.690352581
518	48.4262279198
520	49.382173825
522	48.2051411102
524	48.5808442496
526	49.6826657814
528	48.9754155754
530	49.2255645578
532	47.4894268378
534	47.7315853451
536	47.7290857124
538	47.8707168623
540	48.2602405888
542	49.0712812917
544	49.4146925717
