# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
2.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
6.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
10.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
14.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
18.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
22.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
26.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
30.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
34.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
42.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
46.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
50.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
54.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
58.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
62.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
66.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
70.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
74.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
78.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
82.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
86.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
90.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
94.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
98.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
102.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
106.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
110.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
114.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
122.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
126.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
130.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
134.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
138.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
142.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
146.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
150.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
154.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
158.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
162.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
166.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
170.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
174.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
178.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
