# ps/frame	Tilt angle
10.0	42.4328488358
22.0	44.4023910349
34.0	43.6291947017
46.0	43.6985423525
58.0	43.2388498325
70.0	43.4629260056
82.0	43.7448796398
94.0	42.8294948733
106.0	43.3312001033
118.0	43.96915849
130.0	42.4328488358
142.0	44.4023910349
154.0	43.6291947017
166.0	43.6985423525
178.0	43.2388498325
190.0	43.4629260056
202.0	43.7448796398
214.0	42.8294948733
226.0	43.3312001033
238.0	43.96915849
250.0	42.4328488358
262.0	44.4023910349
274.0	43.6291947017
286.0	43.6985423525
298.0	43.2388498325
310.0	43.4629260056
322.0	43.7448796398
334.0	42.8294948733
346.0	43.3312001033
358.0	43.96915849
370.0	42.4328488358
382.0	44.4023910349
394.0	43.6291947017
406.0	43.6985423525
418.0	43.2388498325
430.0	43.4629260056
