# ps/frame	Tilt angle
0.0	45.1890237164
2.0	45.5183215637
4.0	46.2823995693
6.0	45.6314278454
8.0	46.0089093265
10.0	44.3231620532
12.0	44.6615263927
14.0	44.6502266067
16.0	44.9419119376
18.0	45.1519934231
20.0	45.9447749749
22.0	46.3623072086
24.0	45.3521265011
26.0	45.0682723645
28.0	45.4788035828
30.0	45.3367928171
32.0	46.6818349067
34.0	45.5784211694
36.0	45.1479023419
38.0	46.0506854868
40.0	45.1890237164
42.0	45.5183215637
44.0	46.2823995693
46.0	45.6314278454
48.0	46.0089093265
50.0	44.3231620532
52.0	44.6615263927
54.0	44.6502266067
56.0	44.9419119376
58.0	45.1519934231
60.0	45.9447749749
62.0	46.3623072086
64.0	45.3521265011
66.0	45.0682723645
68.0	45.4788035828
70.0	45.3367928171
72.0	46.6818349067
74.0	45.5784211694
76.0	45.1479023419
78.0	46.0506854868
80.0	45.1890237164
82.0	45.5183215637
84.0	46.2823995693
86.0	45.6314278454
88.0	46.0089093265
90.0	44.3231620532
92.0	44.6615263927
94.0	44.6502266067
96.0	44.9419119376
98.0	45.1519934231
100.0	45.9447749749
102.0	46.3623072086
104.0	45.3521265011
106.0	45.0682723645
108.0	45.4788035828
110.0	45.3367928171
112.0	46.6818349067
114.0	45.5784211694
116.0	45.1479023419
118.0	46.0506854868
120.0	45.1890237164
122.0	45.5183215637
124.0	46.2823995693
126.0	45.6314278454
128.0	46.0089093265
130.0	44.3231620532
132.0	44.6615263927
134.0	44.6502266067
136.0	44.9419119376
138.0	45.1519934231
140.0	45.9447749749
142.0	46.3623072086
144.0	45.3521265011
146.0	45.0682723645
148.0	45.4788035828
150.0	45.3367928171
152.0	46.6818349067
154.0	45.5784211694
156.0	45.1479023419
158.0	46.0506854868
160.0	45.1890237164
162.0	45.5183215637
164.0	46.2823995693
166.0	45.6314278454
168.0	46.0089093265
170.0	44.3231620532
172.0	44.6615263927
174.0	44.6502266067
176.0	44.9419119376
178.0	45.1519934231
180.0	45.9447749749
