# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
4.0	93.1276	93.1276	82.315	90.0	90.0	90.0	713896.887802
10.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
16.0	93.1242	93.1242	82.9266	90.0	90.0	90.0	719149.491421
22.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
28.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
34.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
40.0	93.1089	93.1089	82.5551	90.0	90.0	90.0	715692.338767
46.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
52.0	93.098	93.098	82.5636	90.0	90.0	90.0	715598.891693
58.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
64.0	93.005	93.005	82.732	90.0	90.0	90.0	715626.523724
70.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
76.0	92.7405	92.7405	82.8083	90.0	90.0	90.0	712218.154621
82.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
88.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
94.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
100.0	93.1419	93.1419	82.8305	90.0	90.0	90.0	718588.491234
106.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
112.0	92.9553	92.9553	82.8813	90.0	90.0	90.0	716151.128923
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
124.0	93.1276	93.1276	82.315	90.0	90.0	90.0	713896.887802
130.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
136.0	93.1242	93.1242	82.9266	90.0	90.0	90.0	719149.491421
142.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
148.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
154.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
160.0	93.1089	93.1089	82.5551	90.0	90.0	90.0	715692.338767
166.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
172.0	93.098	93.098	82.5636	90.0	90.0	90.0	715598.891693
178.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
