# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
6.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
14.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
22.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
30.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
46.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
54.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
62.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
70.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
78.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
86.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
94.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
102.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
110.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
126.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
134.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
142.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
150.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
158.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
166.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
174.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
182.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
190.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
198.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
206.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
214.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
222.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
230.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
238.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
246.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
254.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
262.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
270.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
278.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
286.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
294.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
302.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
310.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
318.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
