# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
8.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
18.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
28.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
48.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
58.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
68.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
78.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
88.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
98.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
108.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
128.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
138.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
148.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
158.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
168.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
178.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
188.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
198.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
208.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
218.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
228.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
238.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
248.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
258.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
268.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
278.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
288.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
298.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
308.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
318.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
328.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
338.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
348.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
358.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
368.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
378.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
388.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
398.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
408.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
418.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
428.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
438.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
448.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
458.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
468.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
478.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
488.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
498.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
508.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
518.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
528.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
538.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
548.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
558.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
568.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
578.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
588.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
598.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
608.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
618.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
628.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
638.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
648.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
658.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
668.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
678.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
688.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
698.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
708.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
718.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
728.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
738.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
748.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
758.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
768.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
778.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
788.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
798.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
808.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
