# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
10.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
22.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
34.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
46.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
58.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
70.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
82.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
94.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
106.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
130.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
142.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
154.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
166.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
178.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
190.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
202.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
214.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
226.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
238.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
250.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
262.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
274.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
286.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
298.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
310.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
322.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
334.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
346.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
358.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
370.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
382.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
394.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
406.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
418.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
430.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
442.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
454.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
