# ps/frame	Tilt angle
0.0	43.2729259943
2.0	43.7448796398
4.0	44.1819116067
6.0	43.6985423525
8.0	44.1804427407
10.0	42.4328488358
12.0	42.706906919
14.0	42.8294948733
16.0	43.0393761546
18.0	43.2388498325
20.0	43.925865334
22.0	44.4023910349
24.0	43.6050467841
26.0	43.3312001033
28.0	43.557056136
30.0	43.4629260056
32.0	44.611929913
34.0	43.6291947017
36.0	43.1710433307
38.0	43.96915849
40.0	43.2729259943
42.0	43.7448796398
44.0	44.1819116067
46.0	43.6985423525
48.0	44.1804427407
50.0	42.4328488358
52.0	42.706906919
54.0	42.8294948733
56.0	43.0393761546
58.0	43.2388498325
60.0	43.925865334
62.0	44.4023910349
64.0	43.6050467841
66.0	43.3312001033
68.0	43.557056136
70.0	43.4629260056
72.0	44.611929913
74.0	43.6291947017
76.0	43.1710433307
78.0	43.96915849
