# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.000722361725897
-46.0	0.0161712843825
-45.0	0.0311325857753
-44.0	0.032079200773
-43.0	0.0325562261812
-42.0	0.0327157884553
-41.0	0.0324747265608
-40.0	0.0324749159535
-39.0	0.0329613267171
-38.0	0.0321814676146
-37.0	0.0324509242683
-36.0	0.0329126791133
-35.0	0.0319918519463
-34.0	0.0327936896568
-33.0	0.0324447144888
-32.0	0.0330832950648
-31.0	0.0324639570857
-30.0	0.032330040763
-29.0	0.0328319523355
-28.0	0.0330498633458
-27.0	0.0315620890704
-26.0	0.0325332475444
-25.0	0.0318980471842
-24.0	0.0299746222302
-23.0	0.0280681904406
-22.0	0.0266565257696
-21.0	0.0224025726381
-20.0	0.0192653266868
-19.0	0.0164304595071
-18.0	0.0151295676406
-17.0	0.0137643661006
-16.0	0.0119048808419
-15.0	0.00882259758964
-14.0	0.00588812458808
-13.0	0.0026109246222
-12.0	0.000882649991255
-11.0	0.00024553601436
-10.0	0.000182661997811
-9.0	3.42280704682e-05
-8.0	2.28098929867e-05
-7.0	5.76733993132e-06
-6.0	5.71082599583e-06
-5.0	5.71234361309e-06
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	5.60000858595e-06
8.0	5.77386657209e-06
9.0	4.56130039412e-05
10.0	0.000126055927808
11.0	0.000262379931778
12.0	0.000640247493583
13.0	0.00190122093371
14.0	0.00343073539947
15.0	0.0049516869235
16.0	0.00781751110267
17.0	0.0108032289001
18.0	0.0133725553941
19.0	0.0152661058149
20.0	0.0171667084304
21.0	0.0196696932552
22.0	0.0232167212515
23.0	0.0248286992299
24.0	0.0266838796306
25.0	0.0297058216712
26.0	0.0313485172206
27.0	0.0317699500233
28.0	0.0312637872463
29.0	0.0319149844849
30.0	0.0317167673844
31.0	0.0320451425607
32.0	0.0317346018112
33.0	0.0314920661918
34.0	0.0308967241272
35.0	0.0302515832387
36.0	0.0315777653991
37.0	0.0309135522123
38.0	0.0307748436221
39.0	0.0306614144031
40.0	0.0311834644918
41.0	0.031338676785
42.0	0.0310589767643
43.0	0.0313408255853
44.0	0.0318238882567
45.0	0.0322025446695
46.0	0.0305979852778
47.0	0.01615307887
48.0	0.000810140416773
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
