# Min=-41.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-41.0	0.186922988249
-40.0	0.0323856435413
-39.0	0.0324344017927
-38.0	0.0324774177674
-37.0	0.0324040774619
-36.0	0.0325300497251
-35.0	0.0325363937815
-34.0	0.0325108068789
-33.0	0.0325377405553
-32.0	0.032559409127
-31.0	0.0325361700152
-30.0	0.0324728890039
-29.0	0.0324778374983
-28.0	0.0322392500286
-27.0	0.0320068753427
-26.0	0.0315596269887
-25.0	0.0307511862481
-24.0	0.0297119446486
-23.0	0.0282451976008
-22.0	0.0263792703743
-21.0	0.0242768563023
-20.0	0.022027274518
-19.0	0.0197316681151
-18.0	0.0174752240155
-17.0	0.0152505912055
-16.0	0.0129992981251
-15.0	0.0107443782256
-14.0	0.00845990578257
-13.0	0.00628809978753
-12.0	0.00432057609032
-11.0	0.00270469950132
-10.0	0.00155126394046
-9.0	0.000792658904487
-8.0	0.000364615206275
-7.0	0.000161017632961
-6.0	6.16551761971e-05
-5.0	2.26181322218e-05
-4.0	7.41416796261e-06
-3.0	2.58544519391e-06
-2.0	1.23029100438e-06
-1.0	1.02870523515e-06
0.0	5.71455276887e-07
1.0	6.30235820388e-07
2.0	2.84933950288e-07
3.0	5.14395245998e-07
4.0	3.71947781035e-07
5.0	9.07961552697e-07
6.0	4.02455444076e-06
7.0	1.40088189795e-05
8.0	4.52804558596e-05
9.0	0.000115588566166
10.0	0.000267591890133
11.0	0.000553212867203
12.0	0.00106695844417
13.0	0.00191607825789
14.0	0.00310156003967
15.0	0.00463110947354
16.0	0.00647515571542
17.0	0.00861197864929
18.0	0.0108652635774
19.0	0.0131558135007
20.0	0.0153834834675
21.0	0.0175435462031
22.0	0.0197496744821
23.0	0.0218313413412
24.0	0.0238124741009
25.0	0.0257182911696
26.0	0.0273553355184
27.0	0.0286938887081
28.0	0.0297689113425
29.0	0.0304527562537
30.0	0.0309748940508
31.0	0.0311936782833
32.0	0.0313706998581
33.0	0.0313353014802
34.0	0.031433440535
35.0	0.0314848699679
36.0	0.0315318686002
37.0	0.0315296817663
38.0	0.0316121590571
39.0	0.0316446593623
40.0	0.0317802428413
41.0	0.0318255197618
42.0	0.031884937074
43.0	0.0319126606788
44.0	0.0319175330523
45.0	0.0313575401311
46.0	0.0281325493956
47.0	0.0186207148748
48.0	0.00833679663674
49.0	0.00257157788532
50.0	0.000475994628992
51.0	2.72434304636e-05
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
