# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	2.2453498618e-08
-34.0	4.10510179049e-07
-33.0	1.69657073125e-06
-32.0	7.14787861655e-06
-31.0	2.15290316693e-05
-30.0	6.31186444441e-05
-29.0	0.000157878298103
-28.0	0.000345696025891
-27.0	0.000687254893278
-26.0	0.00130315203026
-25.0	0.00229579205772
-24.0	0.00374808054781
-23.0	0.0057193919768
-22.0	0.00810894571774
-21.0	0.010620116668
-20.0	0.0128490088473
-19.0	0.0142151647401
-18.0	0.0143884437161
-17.0	0.0133369501311
-16.0	0.0112272263009
-15.0	0.00850213094187
-14.0	0.0057424076772
-13.0	0.0033760854218
-12.0	0.00173010727907
-11.0	0.000822694768212
-10.0	0.000366905919574
-9.0	0.000166769785834
-8.0	7.0978176413e-05
-7.0	2.7219555035e-05
-6.0	6.58523202755e-06
-5.0	9.33818849811e-07
-4.0	4.7098502528e-08
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	4.80324735565e-07
9.0	4.1138756784e-06
10.0	2.6565656714e-05
11.0	9.75293808533e-05
12.0	0.000273632383733
13.0	0.000657321962442
14.0	0.00137727911947
15.0	0.00252983074811
16.0	0.00416366231053
17.0	0.00625369292704
18.0	0.00867874817441
19.0	0.0110922215979
20.0	0.0129343717081
21.0	0.0137052926207
22.0	0.0135502377938
23.0	0.0123082352868
24.0	0.0103615209412
25.0	0.00798975757804
26.0	0.00568997006698
27.0	0.00374140313982
28.0	0.0022075412119
29.0	0.00120045801393
30.0	0.000589794505425
31.0	0.000273698980482
32.0	0.000124173452735
33.0	5.12833898513e-05
34.0	1.91933935523e-05
35.0	6.4307392207e-06
36.0	1.3872352412e-06
37.0	6.41953054326e-08
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
