# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	2.48357812787e-08
-28.0	2.21804499753e-07
-27.0	7.87506075419e-07
-26.0	1.64915463544e-06
-25.0	3.47020312503e-06
-24.0	1.32793984436e-05
-23.0	4.78562268359e-05
-22.0	0.000129914483961
-21.0	0.000309894498337
-20.0	0.00065579613986
-19.0	0.00125250996324
-18.0	0.0020855926971
-17.0	0.00321727453488
-16.0	0.00442860186245
-15.0	0.00556091523729
-14.0	0.00630550577179
-13.0	0.00637183924924
-12.0	0.00579477860555
-11.0	0.00474629106966
-10.0	0.00343137550035
-9.0	0.00212596233998
-8.0	0.00115640386718
-7.0	0.000525614991655
-6.0	0.000225949997804
-5.0	9.5273216517e-05
-4.0	3.29881678728e-05
-3.0	1.20397311729e-05
-2.0	3.35846335013e-06
-1.0	6.32007546466e-07
0.0	2.47276039507e-08
1.0	0.0
2.0	0.0
3.0	0.0
4.0	7.56424015679e-07
5.0	4.44904275794e-06
6.0	2.50339589341e-05
7.0	7.20589875133e-05
8.0	0.000165421334992
9.0	0.000397920143071
10.0	0.000880120599515
11.0	0.00155962620133
12.0	0.00243151006796
13.0	0.00350185393481
14.0	0.00465529293414
15.0	0.00556126965974
16.0	0.00606679697499
17.0	0.00596284171407
18.0	0.0053252078366
19.0	0.0043585760789
20.0	0.00317095539431
21.0	0.00207428227671
22.0	0.00120319165304
23.0	0.000633185683925
24.0	0.000296706350804
25.0	0.000122582446286
26.0	4.72679870608e-05
27.0	1.38130560359e-05
28.0	3.84488673356e-06
29.0	9.11705609721e-07
30.0	3.48919937655e-07
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
