# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	3.593211355e-08
-27.0	6.46663563866e-07
-26.0	1.85755346316e-06
-25.0	5.6573173432e-06
-24.0	1.98954057894e-05
-23.0	5.57572039767e-05
-22.0	0.000139936102675
-21.0	0.000332425450385
-20.0	0.000685579812137
-19.0	0.00124954963313
-18.0	0.0021917406908
-17.0	0.00360641319652
-16.0	0.00540470361069
-15.0	0.00759814361718
-14.0	0.0100653004501
-13.0	0.0126611062965
-12.0	0.0151813339267
-11.0	0.0173024162837
-10.0	0.0189948771577
-9.0	0.0202892190529
-8.0	0.0211400730074
-7.0	0.0215715628867
-6.0	0.0216295604888
-5.0	0.021309049684
-4.0	0.0207290594116
-3.0	0.0201414767543
-2.0	0.0194921268966
-1.0	0.0187932062316
0.0	0.0182204031299
1.0	0.0178417891084
2.0	0.0178522626418
3.0	0.0181658071703
4.0	0.018650166316
5.0	0.0192519555291
6.0	0.0199295901655
7.0	0.0205895754625
8.0	0.0210457544507
9.0	0.0212301314691
10.0	0.0210234494982
11.0	0.0205420472309
12.0	0.0196834469169
13.0	0.0183977689189
14.0	0.0166745826597
15.0	0.0145421852423
16.0	0.0122220737877
17.0	0.00969753402284
18.0	0.00729913543423
19.0	0.00521870364486
20.0	0.0034928382224
21.0	0.00218115271241
22.0	0.00124260713458
23.0	0.000659185701906
24.0	0.000314790797129
25.0	0.000129732131411
26.0	4.76417585289e-05
27.0	1.61280800485e-05
28.0	5.21565039109e-06
29.0	1.55514425797e-06
30.0	5.90442171272e-07
31.0	1.08024499976e-07
32.0	1.79459289511e-08
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
