# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.0
-21.0	0.0
-20.0	0.0
-19.0	0.0
-18.0	0.0
-17.0	0.0
-16.0	0.0
-15.0	0.0
-14.0	0.0
-13.0	0.0
-12.0	0.0
-11.0	0.0
-10.0	0.0
-9.0	0.0
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	2.94534898134e-07
15.0	1.20203364581e-05
16.0	5.02512277991e-05
17.0	0.000193284896587
18.0	0.000478220899947
19.0	0.000921555981753
20.0	0.00148331491671
21.0	0.00217035879314
22.0	0.00289521212211
23.0	0.00346343139993
24.0	0.00377880962548
25.0	0.00361393069287
26.0	0.00314679736712
27.0	0.00242883832523
28.0	0.00171521443413
29.0	0.00128386263162
30.0	0.00100607502625
31.0	0.000933346484889
32.0	0.00110910754077
33.0	0.00134249883368
34.0	0.00142290649893
35.0	0.00146880479393
36.0	0.00155329027422
37.0	0.00159123796539
38.0	0.00147535471535
39.0	0.00135870720116
40.0	0.001217682808
41.0	0.00116547286375
42.0	0.00123958523106
43.0	0.00119902122244
44.0	0.00112550052946
45.0	0.00108302851221
46.0	0.00104205343087
47.0	0.000937551210961
48.0	0.000799067547992
49.0	0.000764601990713
50.0	0.000636540312541
51.0	0.000563728687928
52.0	0.000467845929314
53.0	0.000366204140063
54.0	0.000289639216362
55.0	0.000187078136533
56.0	0.000106015879089
57.0	3.60654832022e-05
58.0	1.08802272398e-05
59.0	1.07876664414e-06
60.0	0.0
61.0	0.0
