# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	1.89308366321e-08
-34.0	3.44408423681e-07
-33.0	1.39756514415e-06
-32.0	5.74641757692e-06
-31.0	1.72519441625e-05
-30.0	5.02322431885e-05
-29.0	0.000125180351621
-28.0	0.000274163514431
-27.0	0.000546292881041
-26.0	0.00103926814661
-25.0	0.00183839487976
-24.0	0.00303159897578
-23.0	0.00471306339362
-22.0	0.00685921390779
-21.0	0.00937907535016
-20.0	0.0120627515946
-19.0	0.0145750749389
-18.0	0.0167947226869
-17.0	0.0187539158166
-16.0	0.0202756320692
-15.0	0.0214517961344
-14.0	0.0223174109519
-13.0	0.0228326236879
-12.0	0.0231439711192
-11.0	0.0231251854187
-10.0	0.0228842452336
-9.0	0.0225455727886
-8.0	0.0222547603979
-7.0	0.0220022395604
-6.0	0.0217405633178
-5.0	0.0212835446538
-4.0	0.0206424466111
-3.0	0.0200383061961
-2.0	0.0193817306806
-1.0	0.0186830577417
0.0	0.0181119085662
1.0	0.0177345269008
2.0	0.0177443565167
3.0	0.0180559839162
4.0	0.0185389443478
5.0	0.0191415226143
6.0	0.0198339495713
7.0	0.0205387194781
8.0	0.0210855832496
9.0	0.0215088390711
10.0	0.0218202535098
11.0	0.0221252631297
12.0	0.0223976922034
13.0	0.0226553980328
14.0	0.0228930103561
15.0	0.0229150077321
16.0	0.022689432448
17.0	0.0219788118896
18.0	0.0210178472912
19.0	0.0198730249556
20.0	0.0182889138714
21.0	0.0162331554767
22.0	0.0140245974885
23.0	0.0116019077479
24.0	0.00913992523167
25.0	0.00673716589339
26.0	0.0046723538811
27.0	0.0030220779314
28.0	0.00176678327304
29.0	0.000955360342231
30.0	0.000467594276093
31.0	0.000216189684167
32.0	9.79993957599e-05
33.0	4.05445061259e-05
34.0	1.5182204347e-05
35.0	5.15601904779e-06
36.0	1.11751529065e-06
37.0	5.1932825214e-08
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
