# Min=-41.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-41.0	0.276448063253
-40.0	0.0537923663477
-39.0	0.0541986900009
-38.0	0.0540788098674
-37.0	0.0543358235613
-36.0	0.0541529684971
-35.0	0.0542726151471
-34.0	0.0543199977389
-33.0	0.0541845116084
-32.0	0.0544802634055
-31.0	0.0543576711757
-30.0	0.0541650622153
-29.0	0.054618996074
-28.0	0.0544899731353
-27.0	0.0544065419906
-26.0	0.0552685527253
-25.0	0.0560477068503
-24.0	0.0573266391232
-23.0	0.0593878948967
-22.0	0.0611460718094
-21.0	0.061741072422
-20.0	0.0626016259399
-19.0	0.0619765427626
-18.0	0.0606724274513
-17.0	0.0586481400621
-16.0	0.0565671742017
-15.0	0.0546626244709
-14.0	0.0551173971848
-13.0	0.0556133015412
-12.0	0.0565982660594
-11.0	0.056662547388
-10.0	0.0570045553755
-9.0	0.0565461869158
-8.0	0.0560064377951
-7.0	0.0553953728463
-6.0	0.0550937172996
-5.0	0.0549278136741
-4.0	0.05459010705
-3.0	0.0533930868992
-2.0	0.0520947677089
-1.0	0.0513942371369
0.0	0.0513605574499
1.0	0.0517377334821
2.0	0.0519945807307
3.0	0.0529552185703
4.0	0.0543161636953
5.0	0.0551504337363
6.0	0.0552980581175
7.0	0.055878807018
8.0	0.0560925590999
9.0	0.0568643166984
10.0	0.0564177820811
11.0	0.0558895135869
12.0	0.0555213966693
13.0	0.0557507085693
14.0	0.0563953774153
15.0	0.0567673905234
16.0	0.0575097890731
17.0	0.0594572924699
18.0	0.0613545401975
19.0	0.0624809788318
20.0	0.0620541945088
21.0	0.0612382402618
22.0	0.0602938047219
23.0	0.0589492221048
24.0	0.056867842954
25.0	0.0559029618125
26.0	0.0553757927708
27.0	0.0545743800186
28.0	0.0545311723607
29.0	0.0543243223754
30.0	0.054473938309
31.0	0.0544320688575
32.0	0.054707582485
33.0	0.0543952468721
34.0	0.0546444711182
35.0	0.0547424461316
36.0	0.0549660777694
37.0	0.0549045024888
38.0	0.054523233751
39.0	0.0546187844915
40.0	0.0548099302194
41.0	0.0549210996398
42.0	0.0547643248554
43.0	0.054244411417
44.0	0.0549262864238
45.0	0.054002784243
46.0	0.0442577403416
47.0	0.0182888371327
48.0	0.00261792280625
49.0	0.000834668069593
50.0	0.000560907311671
51.0	0.000441089282451
52.0	0.000297840904333
53.0	0.000204318302254
54.0	0.000118815537688
55.0	5.50638599265e-05
56.0	2.0651005263e-05
57.0	4.55155170743e-06
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
