# Min=-77.0, Max=77.0, Bin size = 1.0
# Bin ranges
#	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0
# Range	Density
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.0
-21.0	2.13689117077e-05
-20.0	0.000212127381421
-19.0	0.000737667021399
-18.0	0.00126489433873
-17.0	0.00254326733815
-16.0	0.00383007275303
-15.0	0.00593587069062
-14.0	0.00897454813131
-13.0	0.0106885438438
-12.0	0.0127259117715
-11.0	0.0144883826871
-10.0	0.0153646657651
-9.0	0.0158508252143
-8.0	0.0157346597845
-7.0	0.0153084895185
-6.0	0.0155846509076
-5.0	0.0146821473309
-4.0	0.0150977523144
-3.0	0.0145691146513
-2.0	0.01375258387
-1.0	0.0132192761007
0.0	0.0133314320003
1.0	0.0136494526698
2.0	0.0139695954135
3.0	0.0140435351637
4.0	0.0150324996787
5.0	0.0160222294174
6.0	0.0175575224779
7.0	0.0169739373696
8.0	0.0166253815704
9.0	0.0167890294934
10.0	0.0167408405988
11.0	0.0165399387966
12.0	0.014585439596
13.0	0.0126662840903
14.0	0.0107712193357
15.0	0.00871361832745
16.0	0.00580620320809
17.0	0.00384646892875
18.0	0.00243613856953
19.0	0.0011833437717
20.0	0.000492657797329
21.0	0.000111984494718
22.0	9.51972914028e-05
23.0	4.23395720462e-05
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
