# Min=-77.0, Max=77.0, Bin size = 1.0
# Bin ranges
#	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0
# Range	Density
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.00618459852279
-40.0	0.0168656110606
-39.0	0.0174603676078
-38.0	0.016848242749
-37.0	0.0176937517722
-36.0	0.0167239467433
-35.0	0.0173579259044
-34.0	0.0170224685021
-33.0	0.0170451598992
-32.0	0.0169386701637
-31.0	0.0171303548474
-30.0	0.0170184002206
-29.0	0.0171533674267
-28.0	0.0172442555776
-27.0	0.0172159645572
-26.0	0.0165532374824
-25.0	0.0165488868845
-24.0	0.0156723773198
-23.0	0.0155162475047
-22.0	0.0136154768644
-21.0	0.0131294501652
-20.0	0.0111487619626
-19.0	0.0092791877613
-18.0	0.00900773485199
-17.0	0.00812250668735
-16.0	0.00679031953406
-15.0	0.00513334199751
-14.0	0.00316414801929
-13.0	0.002231120676
-12.0	0.00117542221395
-11.0	0.000427989768445
-10.0	0.00013080224877
-9.0	1.17935250378e-05
-8.0	5.90145061575e-06
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	2.37127042441e-05
11.0	0.000136358049581
12.0	0.000296039151801
13.0	0.000688256290424
14.0	0.00201152285584
15.0	0.00356077935326
16.0	0.00503289008478
17.0	0.00608111783999
18.0	0.00753242321211
19.0	0.00876468644437
20.0	0.00965905395163
21.0	0.0107319109247
22.0	0.0120027298004
23.0	0.0140341960481
24.0	0.0140619140622
25.0	0.0155055393554
26.0	0.0157587557953
27.0	0.0158324904725
28.0	0.0167116488284
29.0	0.0162866118696
30.0	0.0168136118391
31.0	0.01707799894
32.0	0.0171106776725
33.0	0.0167394315132
34.0	0.0174046794439
35.0	0.0168619037144
36.0	0.0171062905786
37.0	0.0171402947739
38.0	0.0171714802622
39.0	0.0168218173167
40.0	0.017059522737
41.0	0.0167579974245
42.0	0.00633434487102
43.0	6.01231185251e-06
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
