# Min=-77.0, Max=77.0, Bin size = 1.0
# Bin ranges
#	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0
# Range	Density
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.000377341656529
-41.0	0.0168880538764
-40.0	0.0420636644808
-39.0	0.0445925694575
-38.0	0.0441121082425
-37.0	0.0445362190038
-36.0	0.0441285730702
-35.0	0.043651920651
-34.0	0.0450257208374
-33.0	0.0439572519257
-32.0	0.0433636830316
-31.0	0.0442754689982
-30.0	0.0441387306411
-29.0	0.0441552154825
-28.0	0.0442507833239
-27.0	0.0445597767324
-26.0	0.0444891205481
-25.0	0.0446667620215
-24.0	0.045435895307
-23.0	0.0473536735347
-22.0	0.0473105723206
-21.0	0.0496222799523
-20.0	0.0498264087757
-19.0	0.0481235702848
-18.0	0.050007795431
-17.0	0.0481371810743
-16.0	0.0464488798269
-15.0	0.0451249004574
-14.0	0.0439955605032
-13.0	0.0450795309535
-12.0	0.0442406628864
-11.0	0.0438951864505
-10.0	0.0444159934973
-9.0	0.0451523038022
-8.0	0.0443328120517
-7.0	0.0433169553274
-6.0	0.0431677850211
-5.0	0.042232984786
-4.0	0.0427613214506
-3.0	0.0434025100608
-2.0	0.0418565133073
-1.0	0.0420673137666
0.0	0.0424557487596
1.0	0.0434805209541
2.0	0.0429907381764
3.0	0.042960036659
4.0	0.0439081564383
5.0	0.0456220925127
6.0	0.0477108923879
7.0	0.0473001634363
8.0	0.0466583506307
9.0	0.0482186523654
10.0	0.0476438909614
11.0	0.0487829224744
12.0	0.0459025910778
13.0	0.0449721670243
14.0	0.0463981054986
15.0	0.0488640549476
16.0	0.0479532589382
17.0	0.0483437361085
18.0	0.0498650415296
19.0	0.0522519104108
20.0	0.0503166478159
21.0	0.0504821037191
22.0	0.0486754739279
23.0	0.0481416357459
24.0	0.0464207082654
25.0	0.0460873096055
26.0	0.0457341840926
27.0	0.0443131298065
28.0	0.0456459741555
29.0	0.0439221007666
30.0	0.0439403535002
31.0	0.0445496432457
32.0	0.044842794454
33.0	0.0435756096397
34.0	0.044126607769
35.0	0.0442253549962
36.0	0.0440666025479
37.0	0.0437979552866
38.0	0.0443515598947
39.0	0.0435063125205
40.0	0.0440348234719
41.0	0.0418298243278
42.0	0.017586657571
43.0	0.000393032987439
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
