# Min=-77.0, Max=77.0, Bin size = 1.0
# Bin ranges
#	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0
# Range	Density
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.0
-21.0	0.0
-20.0	0.000202893265687
-19.0	0.00193954684191
-18.0	0.00262647066789
-17.0	0.00436733281843
-16.0	0.00593258017176
-15.0	0.00877578221496
-14.0	0.0106072244286
-13.0	0.0112870809412
-12.0	0.00919897079387
-11.0	0.00578507581486
-10.0	0.00838434407646
-9.0	0.0137255238896
-8.0	0.0142139321414
-7.0	0.0139792255571
-6.0	0.00976364279387
-5.0	0.00874848394756
-4.0	0.0116916982175
-3.0	0.0119261786897
-2.0	0.0085644179564
-1.0	0.0102106283989
0.0	0.0137887271763
1.0	0.013377404001
2.0	0.0124730564703
3.0	0.0109284130767
4.0	0.00861209476101
5.0	0.0124429111918
6.0	0.0148596944686
7.0	0.0152361630563
8.0	0.00955071662137
9.0	0.0108877389061
10.0	0.0118942821945
11.0	0.0138066548947
12.0	0.0112273430195
13.0	0.0100068914477
14.0	0.0144600387404
15.0	0.0188057778592
16.0	0.0184838185512
17.0	0.017250530862
18.0	0.0150880431399
19.0	0.0186931608347
20.0	0.0153339048378
21.0	0.0173249980775
22.0	0.0197807171684
23.0	0.0207062083807
24.0	0.0230292534142
25.0	0.0198343645715
26.0	0.0226346298721
27.0	0.0212907468549
28.0	0.0193197499725
29.0	0.0141880132658
30.0	0.00808008660877
31.0	0.00627077946122
32.0	0.00561389035646
33.0	0.00114586352256
34.0	4.87327231432e-05
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
