# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.00489587177768
-46.0	0.0469543964741
-45.0	0.0887172911084
-44.0	0.0941508977043
-43.0	0.0947154954794
-42.0	0.0956210255125
-41.0	0.0942724403701
-40.0	0.0955628338376
-39.0	0.0955571161485
-38.0	0.094329422899
-37.0	0.0954339360186
-36.0	0.0956441794483
-35.0	0.0944095933526
-34.0	0.0956360289951
-33.0	0.0944626372617
-32.0	0.0971205271518
-31.0	0.0946991614963
-30.0	0.0941960523186
-29.0	0.096144177876
-28.0	0.0957492073762
-27.0	0.0932892127106
-26.0	0.0939820995713
-25.0	0.0919662774459
-24.0	0.085875399639
-23.0	0.080841284534
-22.0	0.0760704621419
-21.0	0.0655540916193
-20.0	0.0584032075347
-19.0	0.0493111995706
-18.0	0.045572340155
-17.0	0.0402171920618
-16.0	0.0347999641876
-15.0	0.0266055881725
-14.0	0.0174310717315
-13.0	0.0079967580873
-12.0	0.00301318051302
-11.0	0.000838928501071
-10.0	0.000439322342196
-9.0	0.000100127755017
-8.0	5.012331316e-05
-7.0	1.66531338526e-05
-6.0	1.66931470678e-05
-5.0	1.11400332229e-05
-4.0	5.57001661146e-06
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.65664178358e-05
8.0	3.34297833405e-05
9.0	0.000122405465984
10.0	0.000368532194522
11.0	0.000745141291264
12.0	0.00213137820194
13.0	0.00530703384287
14.0	0.0104988041936
15.0	0.0149457633929
16.0	0.0230005589765
17.0	0.0320285170833
18.0	0.0404521950818
19.0	0.0461599566153
20.0	0.0526712600979
21.0	0.0592082692089
22.0	0.0667487936051
23.0	0.0712174215873
24.0	0.0762360112317
25.0	0.084750546256
26.0	0.0908147640376
27.0	0.0909288666215
28.0	0.0922158289441
29.0	0.0923730396442
30.0	0.0927668008062
31.0	0.0936066368846
32.0	0.0927475063822
33.0	0.0928298519426
34.0	0.089210600511
35.0	0.0893716982747
36.0	0.0917042361727
37.0	0.0908304929881
38.0	0.0903336560148
39.0	0.0894571303519
40.0	0.0908304320011
41.0	0.0916692293157
42.0	0.0909679275684
43.0	0.0917881835284
44.0	0.0929161922175
45.0	0.0937447039788
46.0	0.0875753040157
47.0	0.0463569926744
48.0	0.00492035598917
49.0	5.60676573459e-06
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
