# Min=0.0, Max=180.0, Bin size = 1.0
# Bin ranges
#	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0
# Range	Density
0.0	0.0
1.0	0.000144834245253
2.0	0.000421628580624
3.0	0.000698422915996
4.0	0.000891535243
5.0	0.00120695204377
6.0	0.00142259414226
7.0	0.00172835532668
8.0	0.00197940135179
9.0	0.00235918892823
10.0	0.00276794335372
11.0	0.00316704216286
12.0	0.00343739942066
13.0	0.0036626971355
14.0	0.00403282909559
15.0	0.00452526552945
16.0	0.00526552944963
17.0	0.00529771483746
18.0	0.00571934341809
19.0	0.00645638879949
20.0	0.00661087866109
21.0	0.00712262632765
22.0	0.00765046668812
23.0	0.00824267782427
24.0	0.00886707434825
25.0	0.00939491470872
26.0	0.01023817187
27.0	0.0107370453814
28.0	0.0115609913099
29.0	0.0128130028967
30.0	0.0133504988735
31.0	0.0141776633408
32.0	0.0151625362086
33.0	0.016240746701
34.0	0.0162278725459
35.0	0.0163694882523
36.0	0.0170003218539
37.0	0.0160154489862
38.0	0.0161474090763
39.0	0.0158223366592
40.0	0.0154296749276
41.0	0.0142388155777
42.0	0.0135886707435
43.0	0.0129449629868
44.0	0.012555519794
45.0	0.0110943031864
46.0	0.0112166076601
47.0	0.0100708078532
48.0	0.00991309945285
49.0	0.00899903443836
50.0	0.0082941744448
51.0	0.00776955262311
52.0	0.00710009655616
53.0	0.00650788542002
54.0	0.00596073382684
55.0	0.00511425812681
56.0	0.0045735436112
57.0	0.00409076279369
58.0	0.00336659156743
59.0	0.00282265851304
60.0	0.00237528162214
61.0	0.00214998390731
62.0	0.0018603154168
63.0	0.00158030254265
64.0	0.00130672674606
65.0	0.0010653363373
66.0	0.000743482458964
67.0	0.000576118442227
68.0	0.000321853878339
69.0	0.000193112327004
70.0	6.43707756678e-05
71.0	2.25297714837e-05
72.0	3.21853878339e-06
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	3.21853878339e-06
102.0	3.21853878339e-06
103.0	0.0
104.0	0.0
105.0	0.0
106.0	9.65561635018e-06
107.0	3.21853878339e-05
108.0	3.86224654007e-05
109.0	9.65561635018e-05
110.0	0.00016092693917
111.0	0.000241390408754
112.0	0.00038944319279
113.0	0.000547151593177
114.0	0.000669456066946
115.0	0.000852912777599
116.0	0.000820727389765
117.0	0.00111683295784
118.0	0.00140971998713
119.0	0.00173801094303
120.0	0.00220791760541
121.0	0.00268104280657
122.0	0.00308657869327
123.0	0.00368844544577
124.0	0.00434502735758
125.0	0.00479240424847
126.0	0.00517862890248
127.0	0.00568715803025
128.0	0.00621499839073
129.0	0.00699066623753
130.0	0.00773093015771
131.0	0.00813002896685
132.0	0.00873189571934
133.0	0.00963630511748
