# Min=0.0, Max=180.0, Bin size = 1.0
# Bin ranges
#	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0
# Range	Density
0.0	0.0
1.0	0.000106723585912
2.0	0.00028967830462
3.0	0.000503125476445
4.0	0.000678457081872
5.0	0.00070894953499
6.0	0.00115871321848
7.0	0.00133404482391
8.0	0.00154749199573
9.0	0.00159323067541
10.0	0.00190577831987
11.0	0.00235554200335
12.0	0.00243177313615
13.0	0.00295014483915
14.0	0.00284342125324
15.0	0.00295014483915
16.0	0.00365147126086
17.0	0.00413935051075
18.0	0.00416221985059
19.0	0.00413935051075
20.0	0.00461198353408
21.0	0.00488641561214
22.0	0.00521420948315
23.0	0.00584692788535
24.0	0.00557249580729
25.0	0.00546577222138
26.0	0.00579356609239
27.0	0.00578594297911
28.0	0.00578594297911
29.0	0.00600701326422
30.0	0.00605275194389
31.0	0.00639579204147
32.0	0.00605275194389
33.0	0.00671596279921
34.0	0.00695990242415
35.0	0.00663210855313
36.0	0.00687604817808
37.0	0.00731818874828
38.0	0.00769172129898
39.0	0.00781369111145
40.0	0.00828632413478
41.0	0.00825583168166
42.0	0.00853026375972
43.0	0.00894191187681
44.0	0.00952126848605
45.0	0.00983381613051
46.0	0.0101997255679
47.0	0.0109239213295
48.0	0.0115947552981
49.0	0.0120064034152
50.0	0.013012654368
51.0	0.0135615185242
52.0	0.0138969355085
53.0	0.0130812623876
54.0	0.0134547949383
55.0	0.0136987345632
56.0	0.0127001067236
57.0	0.0127687147431
58.0	0.0122427199268
59.0	0.0113660618997
60.0	0.0114651623723
61.0	0.0111754840677
62.0	0.0102530873609
63.0	0.00932306754078
64.0	0.00841591706053
65.0	0.00865985668547
66.0	0.00804238450983
67.0	0.00692178685775
68.0	0.00622808354932
69.0	0.00549626467449
70.0	0.00479493825278
71.0	0.00397926513188
72.0	0.00338466229608
73.0	0.0022259490776
74.0	0.00157798444885
75.0	0.00105961274585
76.0	0.000586979722519
77.0	0.000167708492148
78.0	1.52462265589e-05
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	2.28693398384e-05
102.0	0.000106723585912
103.0	0.000205824058546
104.0	0.000358286324135
