# Min=0.0, Max=180.0, Bin size = 1.0
# Bin ranges
#	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0
# Range	Density
0.0	0.0
1.0	9.49893137022e-05
2.0	0.000231536452149
3.0	0.000451199240085
4.0	0.000581809546426
5.0	0.000759914509618
6.0	0.000896461648065
7.0	0.00132391355972
8.0	0.00146046069817
9.0	0.00132985039183
10.0	0.00169793398243
11.0	0.00193540726668
12.0	0.00214913322251
13.0	0.00208382806934
14.0	0.00254690097364
15.0	0.00276062692947
16.0	0.00307527903111
17.0	0.00300997387794
18.0	0.00308715269532
19.0	0.00340774162907
20.0	0.00372833056281
21.0	0.00379957254809
22.0	0.00420327713132
23.0	0.00432795060556
24.0	0.00480289717407
25.0	0.00489788648777
26.0	0.00551531702683
27.0	0.00562811683686
28.0	0.00565780099739
29.0	0.0063167893612
30.0	0.00666112562337
31.0	0.00719544051294
32.0	0.0076228924246
33.0	0.00816908097839
34.0	0.00878651151745
35.0	0.00902398480171
36.0	0.0102291617193
37.0	0.0103478983614
38.0	0.0112265495132
39.0	0.0115115174543
40.0	0.0128057468535
41.0	0.0133697459036
42.0	0.014343386369
43.0	0.0154179529803
44.0	0.0164925195915
45.0	0.017412728568
46.0	0.0174839705533
47.0	0.0182913797198
48.0	0.018356684873
49.0	0.018356684873
50.0	0.018974115412
51.0	0.0183091902161
52.0	0.0166528140584
53.0	0.0163619092852
54.0	0.0155010686298
55.0	0.0148302066018
56.0	0.0130075991451
57.0	0.0119567798623
58.0	0.011553075279
59.0	0.00942175255284
60.0	0.00815720731418
61.0	0.00690453573973
62.0	0.00578247447162
63.0	0.005022559962
64.0	0.00414984564237
65.0	0.00341961529328
66.0	0.00299216338162
67.0	0.00255283780575
68.0	0.00184635478509
69.0	0.00150795535502
70.0	0.00107456661126
71.0	0.00085490382332
72.0	0.000676798860128
73.0	0.000593683210639
74.0	0.000480883400617
75.0	0.000284967941107
76.0	8.90524815958e-05
77.0	1.18736642128e-05
78.0	1.78104963192e-05
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	0.0
102.0	0.0
103.0	0.0
104.0	0.0
105.0	0.0
106.0	0.0
107.0	5.93683210639e-06
108.0	3.56209926383e-05
109.0	5.34314889575e-05
110.0	0.000207789123724
111.0	0.000302778437426
112.0	0.00070648302066
113.0	0.00107456661126
114.0	0.00138328188079
115.0	0.00162075516504
116.0	0.00236879601045
117.0	0.00305153170268
118.0	0.00391237235811
119.0	0.00491569698409
120.0	0.00561030634054
121.0	0.00675611493707
122.0	0.00787817620518
123.0	0.00970672049394
124.0	0.0108584659226
125.0	0.0125623367371
126.0	0.0134587983852
127.0	0.015067679886
128.0	0.0149489432439
129.0	0.0160650676799
130.0	0.0162609831394
131.0	0.0165815720731
132.0	0.0167537402042
133.0	0.0167121823795
134.0	0.0167656138684
135.0	0.0162134884825
136.0	0.015791973403
137.0	0.0149608169081
138.0	0.014563049157
139.0	0.0134528615531
140.0	0.0127701258608
141.0	0.0119745903586
142.0	0.0110959392068
143.0	0.0104963191641
144.0	0.00958798385182
145.0	0.0090180479696
146.0	0.00856091189741
147.0	0.00784849204464
148.0	0.00750415578247
149.0	0.00688672524341
150.0	0.00612681073379
151.0	0.0062277368796
152.0	0.00602588458798
153.0	0.00536095939207
154.0	0.00496319164094
155.0	0.00461291854666
156.0	0.00475540251722
157.0	0.00406672999288
158.0	0.00359178342436
159.0	0.00384706720494
160.0	0.00368677273807
161.0	0.00335431014011
162.0	0.00337805746853
163.0	0.00305746853479
164.0	0.0028853004037
165.0	0.00263595345524
166.0	0.00226193303253
167.0	0.00225599620043
168.0	0.00201258608407
169.0	0.00169199715032
170.0	0.00161481833294
171.0	0.00149608169081
172.0	0.00119330325338
173.0	0.00113987176443
174.0	0.000979577297554
175.0	0.000837093327001
176.0	0.000581809546426
177.0	0.000522441225362
178.0	0.000344336262171
179.0	0.000184041795298
180.0	0.000100926145809
