# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	-13856.3778504
-46.0	-312876.178499
-45.0	-603799.365195
-44.0	-619190.534409
-43.0	-625688.231654
-42.0	-625639.640948
-41.0	-617421.22746
-40.0	-614290.555721
-39.0	-620309.274095
-38.0	-600910.260847
-37.0	-601802.491801
-36.0	-607193.773745
-35.0	-585835.945386
-34.0	-595558.841879
-33.0	-584259.811805
-32.0	-589891.399278
-31.0	-573287.111177
-30.0	-566709.084538
-29.0	-566368.155915
-28.0	-565699.399838
-27.0	-533042.394121
-26.0	-539882.868033
-25.0	-523036.468745
-24.0	-483682.21992
-23.0	-443580.886295
-22.0	-417629.582038
-21.0	-346510.344527
-20.0	-291395.608086
-19.0	-242977.762335
-18.0	-214384.905048
-17.0	-190054.27558
-16.0	-156365.656115
-15.0	-110238.697366
-14.0	-71744.4069017
-13.0	-29969.9650998
-12.0	-9286.09877985
-11.0	-2205.73792212
-10.0	-1441.86598291
-9.0	-232.2823759
-8.0	-216.227931945
-7.0	-36.7474664061
-6.0	-24.8423584038
-5.0	-22.6159762301
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	46.7892865505
8.0	60.8941572561
9.0	430.000933676
10.0	1481.36466019
11.0	3093.20525862
12.0	8227.31645177
13.0	24106.8821652
14.0	42303.8247412
15.0	62744.2440242
16.0	103143.291845
17.0	147795.138576
18.0	188502.238261
19.0	217427.667278
20.0	250730.900162
21.0	293579.330051
22.0	352158.577506
23.0	385300.01529
24.0	420869.224406
25.0	477890.140849
26.0	510075.694596
27.0	527247.198444
28.0	526023.000724
29.0	543350.01504
30.0	547539.746825
31.0	557606.08752
32.0	557841.152542
33.0	557276.526738
34.0	552687.291999
35.0	544917.554823
36.0	574625.327639
37.0	566373.344112
38.0	567942.91734
39.0	570387.099735
40.0	583734.305962
41.0	590953.66022
42.0	590123.32439
43.0	597652.34314
44.0	611258.326806
45.0	622550.157243
46.0	591981.869284
47.0	313224.240592
48.0	15637.0036023
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
