# Min=-61.0, Max=61.0, Bin size = 1.0
# Bin ranges
#	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0
# Range	Density
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	-0.000358845264795
-46.0	-0.0081027044971
-45.0	-0.0156368818335
-44.0	-0.0160354743266
-43.0	-0.0162037483094
-42.0	-0.0162024899326
-41.0	-0.0159896537357
-40.0	-0.0159085772277
-39.0	-0.0160644468649
-38.0	-0.0155620613122
-37.0	-0.0155851678452
-36.0	-0.0157247884602
-35.0	-0.0151716745328
-34.0	-0.0154234730478
-33.0	-0.0151308566452
-32.0	-0.0152767005678
-31.0	-0.0148466913529
-30.0	-0.0146763370413
-29.0	-0.0146675078491
-28.0	-0.0146501887522
-27.0	-0.0138044546079
-26.0	-0.0139816056425
-25.0	-0.0135453263581
-24.0	-0.012526150496
-23.0	-0.0114876270205
-22.0	-0.010815553644
-21.0	-0.00897374463073
-20.0	-0.00754641185979
-19.0	-0.0062925116799
-18.0	-0.00555202873731
-17.0	-0.00492192675333
-16.0	-0.00404947641291
-15.0	-0.00285490443276
-14.0	-0.00185799932495
-13.0	-0.000776146564294
-12.0	-0.000240486555112
-11.0	-5.71230531731e-05
-10.0	-3.73406950952e-05
-9.0	-6.01552812627e-06
-8.0	-5.59975848904e-06
-7.0	-9.51666767133e-07
-6.0	-6.43354473718e-07
-5.0	-5.85696786457e-07
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.21172460098e-06
8.0	1.57700520446e-06
9.0	1.11359404726e-05
10.0	3.83636112905e-05
11.0	8.01062205492e-05
12.0	0.000213066761211
13.0	0.00062430749272
14.0	0.00109556244461
15.0	0.00162491778908
16.0	0.00267115131196
17.0	0.0038275216085
18.0	0.00488173289829
19.0	0.00563082861054
20.0	0.00649329840976
21.0	0.00760296475515
22.0	0.00912001962993
23.0	0.00997829934383
24.0	0.0108994522167
25.0	0.0123761502456
26.0	0.013209674972
27.0	0.0136543736452
28.0	0.0136226700095
29.0	0.0140713960119
30.0	0.014179899506
31.0	0.0144405923603
32.0	0.0144466799519
33.0	0.0144320575666
34.0	0.0143132079529
35.0	0.0141119913417
36.0	0.0148813477867
37.0	0.0146676422104
38.0	0.0147082902012
39.0	0.0147715883653
40.0	0.0151172473683
41.0	0.015304210449
42.0	0.0152827068437
43.0	0.0154776894543
44.0	0.0158300501408
45.0	0.0161224800909
46.0	0.0153308384724
47.0	0.00811171842809
48.0	0.00040495898415
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
