# Min=-42.0, Max=42.0, Bin size = 1.0
# Bin ranges
#	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0
# Range	Density
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	6.19287840403e-05
-33.0	0.0229921268421
-32.0	0.0841044073169
-31.0	0.0959936578151
-30.0	0.0938721138779
-29.0	0.0957090321487
-28.0	0.0947769899135
-27.0	0.0950760192705
-26.0	0.0947249938978
-25.0	0.0944305726675
-24.0	0.0943889013418
-23.0	0.0901636691042
-22.0	0.0817479929204
-21.0	0.0735477834636
-20.0	0.0609342688734
-19.0	0.0497846979897
-18.0	0.0396193514258
-17.0	0.0295545298276
-16.0	0.0200976203602
-15.0	0.0125868576051
-14.0	0.00629021246646
-13.0	0.00273209311418
-12.0	0.00136596777373
-11.0	0.000677195751055
-10.0	0.000201716329706
-9.0	2.24167169141e-05
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.67005267619e-05
10.0	0.000206698661806
11.0	0.00101783162053
12.0	0.00326734706523
13.0	0.00812709587442
14.0	0.0134833250801
15.0	0.0202495480689
16.0	0.0293205094909
17.0	0.0358363295893
18.0	0.0428014331534
19.0	0.0557062641827
20.0	0.0669325741582
21.0	0.0754142084134
22.0	0.0858259691707
23.0	0.0905365478756
24.0	0.0938399013065
25.0	0.0961304711712
26.0	0.0959398256852
27.0	0.0950879042579
28.0	0.0948698336423
29.0	0.0959021874873
30.0	0.0944650029343
31.0	0.0955005138729
32.0	0.0956435919072
33.0	0.0836980384128
34.0	0.0231354732901
35.0	7.2973355312e-05
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
