# Min=-60.0, Max=60.0, Bin size = 1.0
# Bin ranges
#	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0
# Range	Density
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	-0.00498431397903
-32.0	-0.025085562995
-31.0	-0.0268914584295
-30.0	-0.0257298427859
-29.0	-0.0261313645284
-28.0	-0.0258164506695
-27.0	-0.0250462186202
-26.0	-0.0250344513484
-25.0	-0.0244528978605
-24.0	-0.0239832840964
-23.0	-0.0222937876647
-22.0	-0.019308689475
-21.0	-0.0165870026672
-20.0	-0.0132878633788
-19.0	-0.0107891769648
-18.0	-0.00855519157797
-17.0	-0.00631868968238
-16.0	-0.00411060449924
-15.0	-0.00238224600652
-14.0	-0.00106029059693
-13.0	-0.000371122437203
-12.0	-0.000217846392368
-11.0	-9.63860465031e-05
-10.0	-2.72132831585e-05
-9.0	-1.94472715059e-06
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.81802744427e-06
10.0	3.75987055895e-05
11.0	0.000162672591592
12.0	0.000555973322122
13.0	0.00147211888371
14.0	0.00264310169835
15.0	0.00405522366434
16.0	0.00604095751599
17.0	0.00776392005818
18.0	0.0089179913681
19.0	0.0122846886968
20.0	0.0146487602003
21.0	0.017164238005
22.0	0.0200470790316
23.0	0.0223236818919
24.0	0.0232687738851
25.0	0.0244255989723
26.0	0.0248379945865
27.0	0.0247812862856
28.0	0.0250375690134
29.0	0.0259864129678
30.0	0.0252582417208
31.0	0.026639657425
32.0	0.0266661323015
33.0	0.0249726097952
34.0	0.00507469396866
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
