# Min=-42.0, Max=42.0, Bin size = 1.0
# Bin ranges
#	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0
# Range	Density
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	-5.14193633727e-05
-33.0	-0.0194563658479
-32.0	-0.0705323647247
-31.0	-0.079755207852
-30.0	-0.0770181500878
-29.0	-0.0775157230028
-28.0	-0.0758618854204
-27.0	-0.0748463263478
-26.0	-0.0736626730725
-25.0	-0.0722549102244
-24.0	-0.0708205924646
-23.0	-0.0662782804362
-22.0	-0.0586917004937
-21.0	-0.0514975648987
-20.0	-0.0420007553569
-19.0	-0.0336726497971
-18.0	-0.0259927704155
-17.0	-0.0192022451023
-16.0	-0.012566996645
-15.0	-0.00731401730021
-14.0	-0.00345452682677
-13.0	-0.00136559861979
-12.0	-0.000599273042376
-11.0	-0.000271468657746
-10.0	-7.88283292132e-05
-9.0	-7.67706168848e-06
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	7.98143979754e-06
10.0	0.000101530407715
11.0	0.000518493153412
12.0	0.00170778213395
13.0	0.0046156992815
14.0	0.00809713557056
15.0	0.0125902530386
16.0	0.0187151811896
17.0	0.0231759347583
18.0	0.0282317554621
19.0	0.0371344471877
20.0	0.0457328162962
21.0	0.0524984501238
22.0	0.0612979910188
23.0	0.065765703532
24.0	0.0689874264573
25.0	0.0721443683637
26.0	0.073357164462
27.0	0.0737546121679
28.0	0.0747631508967
29.0	0.0767036126552
30.0	0.0764198364693
31.0	0.0783709391981
32.0	0.0794112441113
33.0	0.0701778463185
34.0	0.0195285339336
35.0	6.2918762656e-05
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
