# Min=-42.0, Max=42.0, Bin size = 1.0
# Bin ranges
#	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0
# Range	Density
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	-0.000256480905783
-23.0	-0.0047427307945
-22.0	-0.0210901492745
-21.0	-0.0514405838239
-20.0	-0.0938386439949
-19.0	-0.117612425023
-18.0	-0.15408080209
-17.0	-0.148971609819
-16.0	-0.133883668258
-15.0	-0.086043138453
-14.0	-0.0496820436489
-13.0	-0.0208906033663
-12.0	-0.00755211637936
-11.0	-0.0012776834213
-10.0	0.0
-9.0	0.0
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.00050084563188
11.0	0.00381867109948
12.0	0.0164387114185
13.0	0.0425634875545
14.0	0.0774903016328
15.0	0.108115649858
16.0	0.128497577554
17.0	0.128862207465
18.0	0.125356547626
19.0	0.0903879493555
20.0	0.0564106853997
21.0	0.0238503363457
22.0	0.00580667144309
23.0	0.00088943399846
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
