# Min=-42.0, Max=42.0, Bin size = 1.0
# Bin ranges
#	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0
# Range	Density
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	-0.0260463629465
-22.0	-0.0696537271307
-21.0	-0.122772120024
-20.0	-0.108546951934
-19.0	-0.183476113833
-18.0	-0.217968472769
-17.0	-0.108188808644
-16.0	-0.0499419882643
-15.0	0.0
-14.0	0.0
-13.0	0.0
-12.0	0.0
-11.0	0.0
-10.0	0.0
-9.0	0.0
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0178672741207
16.0	0.096742301283
17.0	0.209298376994
18.0	0.190836081999
19.0	0.140315977581
20.0	0.0666319330503
21.0	0.0163932894715
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
