# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	65.4866	65.4866	66.2405	90.0	90.0	90.0	284072.430777
5.0	65.3659	65.3659	66.4469	90.0	90.0	90.0	283907.875788
10.0	65.5125	65.5125	66.1841	90.0	90.0	90.0	284054.32086
15.0	65.4725	65.4725	66.0735	90.0	90.0	90.0	283233.956855
20.0	65.4428	65.4428	66.6006	90.0	90.0	90.0	285234.218378
25.0	65.5699	65.5699	66.1806	90.0	90.0	90.0	284537.70069
30.0	65.5654	65.5654	66.114	90.0	90.0	90.0	284212.481874
35.0	65.5326	65.5326	65.9893	90.0	90.0	90.0	283392.696128
40.0	65.7936	65.7936	65.6333	90.0	90.0	90.0	284113.403872
45.0	65.4901	65.4901	66.1183	90.0	90.0	90.0	283578.471578
50.0	65.6559	65.6559	66.0731	90.0	90.0	90.0	284821.141001
55.0	65.3195	65.3195	66.5773	90.0	90.0	90.0	284061.316841
60.0	65.5089	65.5089	66.1362	90.0	90.0	90.0	283817.677829
65.0	65.6739	65.6739	65.9309	90.0	90.0	90.0	284363.614213
70.0	65.7764	65.7764	65.6417	90.0	90.0	90.0	284001.017109
75.0	65.7446	65.7446	65.466	90.0	90.0	90.0	282967.683962
80.0	65.7833	65.7833	65.3949	90.0	90.0	90.0	282992.714493
85.0	65.9916	65.9916	65.5029	90.0	90.0	90.0	285258.038317
90.0	65.9424	65.9424	65.5434	90.0	90.0	90.0	285008.795873
95.0	65.6468	65.6468	65.7664	90.0	90.0	90.0	283420.411803
100.0	65.5941	65.5941	66.0118	90.0	90.0	90.0	284021.859702
105.0	65.5261	65.5261	66.1318	90.0	90.0	90.0	283948.334249
110.0	65.7436	65.7436	65.5935	90.0	90.0	90.0	283509.220198
115.0	65.5224	65.5224	65.9664	90.0	90.0	90.0	283206.11828
120.0	65.4867	65.4867	65.9973	90.0	90.0	90.0	283029.493313
125.0	66.0023	66.0023	65.6799	90.0	90.0	90.0	286121.756727
130.0	65.3437	65.3437	66.115	90.0	90.0	90.0	282297.959712
135.0	65.3185	65.3185	66.7407	90.0	90.0	90.0	284750.059584
140.0	65.3398	65.3398	66.3759	90.0	90.0	90.0	283378.148309
145.0	65.3248	65.3248	66.5368	90.0	90.0	90.0	283934.454756
150.0	65.2708	65.2708	66.3477	90.0	90.0	90.0	282659.591351
155.0	65.3192	65.3192	66.4608	90.0	90.0	90.0	283561.168675
160.0	65.4329	65.4329	66.5114	90.0	90.0	90.0	284765.947788
165.0	65.323	65.323	66.2949	90.0	90.0	90.0	282886.208608
170.0	65.4579	65.4579	66.2486	90.0	90.0	90.0	283857.46743
175.0	65.7708	65.7708	65.7071	90.0	90.0	90.0	284235.795439
180.0	65.7009	65.7009	65.5664	90.0	90.0	90.0	283024.631133
185.0	65.9349	65.9349	65.6091	90.0	90.0	90.0	285229.680133
190.0	65.541	65.541	66.1462	90.0	90.0	90.0	284138.830535
195.0	65.7772	65.7772	65.901	90.0	90.0	90.0	285129.79986
200.0	65.5399	65.5399	66.1627	90.0	90.0	90.0	284200.160083
