# Min=-42.0, Max=42.0, Bin size = 1.0
# Bin ranges
#	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0
# Range	Density
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	-6.92554568111e-06
-33.0	-0.00129939087206
-32.0	-0.0123903835798
-31.0	-0.0243272940893
-30.0	-0.0264496408735
-29.0	-0.0263122685658
-28.0	-0.0259657291817
-27.0	-0.0256359747748
-26.0	-0.025214222156
-25.0	-0.0247910874309
-24.0	-0.0242848579234
-23.0	-0.0236990682278
-22.0	-0.0229890090909
-21.0	-0.0220919551878
-20.0	-0.0209922769857
-19.0	-0.0196219528006
-18.0	-0.0179463294342
-17.0	-0.0160383701352
-16.0	-0.0139778779124
-15.0	-0.0118657017962
-14.0	-0.00981284554438
-13.0	-0.0078758128525
-12.0	-0.00610488216962
-11.0	-0.0045450361831
-10.0	-0.0032344728403
-9.0	-0.00217454451504
-8.0	-0.00138453793548
-7.0	-0.000832620786609
-6.0	-0.000473298403421
-5.0	-0.000259228848926
-4.0	-0.000132479386342
-3.0	-6.54619458471e-05
-2.0	-3.01195017857e-05
-1.0	-1.09099658365e-05
0.0	-2.1704252011e-06
1.0	8.0465014268e-07
2.0	1.14426133482e-06
3.0	8.09789841415e-07
4.0	3.39653425976e-07
5.0	1.54804007242e-07
6.0	2.06933575006e-07
7.0	5.96207346777e-07
8.0	2.20922935219e-06
9.0	7.42179787925e-06
10.0	2.22900464206e-05
11.0	5.37842122874e-05
12.0	0.000115743672065
13.0	0.000221169405615
14.0	0.000411482420387
15.0	0.000728200164645
16.0	0.00121155188915
17.0	0.00194672277702
18.0	0.0029761974146
19.0	0.00434086875668
20.0	0.00602150441257
21.0	0.0079429726164
22.0	0.0100424477555
23.0	0.0122929452754
24.0	0.0145833680138
25.0	0.016877116063
26.0	0.0191192617412
27.0	0.0212135218188
28.0	0.0229330588717
29.0	0.0243716255753
30.0	0.0253835296493
31.0	0.0260436595673
32.0	0.024594888316
33.0	0.0135898212435
34.0	0.00159115659785
35.0	6.99303416259e-06
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
