# Time(ps)	Thickness
0.0	30.5863498595
5.0	30.4494807546
10.0	30.6941602753
15.0	30.7899810047
20.0	30.7457826196
25.0	30.7072530607
30.0	30.4184213034
35.0	30.561477289
40.0	30.2376515458
45.0	30.3865326672
50.0	30.5392857994
55.0	30.6773473228
60.0	30.6100984899
65.0	30.302747773
70.0	30.4458409751
75.0	30.4324906512
80.0	30.5852809999
85.0	30.7986539515
90.0	30.9268739282
95.0	30.7042772247
100.0	30.7198009956
105.0	30.8225752668
110.0	30.9335714201
115.0	30.9361602039
120.0	30.6037389244
125.0	30.616711128
130.0	30.914186059
135.0	31.0059099895
140.0	30.7775179235
145.0	30.8467020174
150.0	30.6871799376
155.0	30.465068538
160.0	30.7388394984
165.0	30.9324236614
170.0	30.587436583
175.0	30.5841719465
180.0	30.84031119
185.0	30.4018227182
190.0	30.8158301377
195.0	30.7173417254
