# Time(ps)	Thickness
0.0	36.3911514282
5.0	36.3034172058
10.0	36.4944534302
15.0	37.2925777435
20.0	36.7802124023
25.0	37.2993183136
30.0	36.569229126
35.0	36.5798892975
40.0	36.4300460815
45.0	36.1843948364
50.0	36.7153158188
55.0	37.1310195923
60.0	37.0593900681
65.0	37.1283893585
70.0	36.7971992493
75.0	36.8814640045
80.0	37.5327987671
85.0	38.047164917
90.0	37.9361724854
95.0	36.9599647522
100.0	37.8074264526
105.0	38.6371650696
110.0	38.780292511
115.0	38.344909668
120.0	37.6916770935
125.0	37.541475296
130.0	38.387096405
135.0	37.7752552032
140.0	37.089006424
145.0	37.6748390198
150.0	37.3779888153
155.0	37.5405216217
160.0	37.6135921478
165.0	37.9606170654
170.0	37.7154960632
175.0	37.7581882477
180.0	37.6925773621
185.0	37.5622406006
190.0	37.9477672577
195.0	37.8809700012
