# Time(ps)	Thickness
0.0	28.0183410645
5.0	28.7163181305
10.0	28.0400323868
15.0	27.3400907516
20.0	28.4929380417
25.0	28.6471195221
30.0	29.1204986572
35.0	29.3391361237
40.0	28.5004377365
45.0	29.214261055
50.0	28.7008895874
55.0	29.5733556747
60.0	28.0127124786
65.0	28.614695549
70.0	28.6627855301
75.0	28.7738628387
80.0	27.6378126144
85.0	27.8144388199
90.0	27.8135004044
95.0	27.4066123962
100.0	28.0246105194
105.0	27.4094219208
110.0	27.6437206268
115.0	27.8275222778
120.0	26.7583684921
125.0	27.5183448792
130.0	27.4055538177
135.0	28.0479822159
140.0	28.5591754913
145.0	29.0505886078
150.0	29.0507125854
155.0	29.5379257202
160.0	28.8126211166
165.0	28.5854940414
170.0	27.7171602249
175.0	27.9038124084
180.0	28.0580463409
185.0	27.9462947845
190.0	28.842590332
195.0	28.5370664597
