# Time(ps)	Average lipid per area
0.0	118.402784609
5.0	114.452773203
10.0	120.193348866
15.0	120.742153576
20.0	118.085407447
25.0	119.266115497
30.0	136.614471551
35.0	117.609938986
40.0	110.610375265
45.0	108.673265832
50.0	112.619920532
55.0	114.367100513
60.0	106.064995695
65.0	111.463792046
70.0	113.789523684
75.0	126.522997418
80.0	116.997262587
85.0	125.466112529
90.0	110.870356096
95.0	121.766043489
100.0	122.784646715
105.0	125.969647852
110.0	114.29519025
115.0	120.548706337
120.0	115.922609593
125.0	111.196611832
130.0	118.872487386
135.0	123.379646698
140.0	120.228556904
145.0	122.84523864
150.0	116.193630605
155.0	112.157538298
160.0	122.355271751
165.0	119.453416791
170.0	114.440085081
175.0	118.482754792
180.0	108.702978277
185.0	114.844975737
190.0	112.802978751
195.0	104.385987338
200.0	119.430862342
205.0	110.586969064
210.0	112.383784075
215.0	111.58561394
220.0	111.913823194
225.0	104.739693961
230.0	110.41404089
235.0	115.004673533
240.0	122.666079156
245.0	99.884559238
250.0	105.909505778
255.0	99.1355552026
260.0	96.3730014901
265.0	110.99367271
270.0	109.833782658
275.0	116.145764509
280.0	114.979562813
285.0	116.299070792
290.0	127.406965575
295.0	112.167702058
300.0	112.849630338
305.0	115.507884389
310.0	102.787877515
315.0	127.157499039
320.0	107.732206339
325.0	107.140146888
330.0	106.941510281
335.0	104.30665319
340.0	104.453325518
345.0	109.296103364
350.0	111.136120604
355.0	113.208720662
360.0	100.257083526
365.0	108.340606871
370.0	111.659175583
375.0	105.170252584
380.0	106.133602334
385.0	111.295440215
390.0	102.74768365
395.0	110.763800631
400.0	112.145249371
405.0	118.432068952
410.0	106.077920797
415.0	118.336037268
420.0	108.399438651
425.0	106.752230401
430.0	106.757808886
435.0	111.210198521
440.0	110.532665141
445.0	119.574445485
450.0	109.185493745
455.0	112.921352786
460.0	118.942626055
465.0	110.332384271
470.0	122.930490921
475.0	128.318811519
480.0	110.749489295
485.0	131.18098471
490.0	103.851459172
495.0	124.849630893
500.0	114.703403885
505.0	109.546558452
510.0	119.421772079
515.0	109.602880441
520.0	112.037592223
525.0	120.790995239
530.0	102.814481756
535.0	111.539200109
540.0	112.022777073
545.0	108.535299385
550.0	104.95572106
555.0	111.363895975
560.0	108.299188666
565.0	104.130972202
570.0	99.1964247558
575.0	109.831011492
580.0	101.655722946
585.0	101.690484373
590.0	98.7533393037
595.0	93.9074084943
600.0	102.648785203
605.0	105.68789835
610.0	99.5587671161
615.0	98.4000979022
620.0	105.94379422
625.0	105.596028504
630.0	121.140544482
635.0	106.146496307
640.0	110.029579006
645.0	102.133124199
650.0	105.493225069
655.0	103.096086735
660.0	107.811489602
665.0	105.22589969
670.0	112.083226661
675.0	108.661925071
680.0	104.575717255
685.0	109.148276018
690.0	103.310506239
695.0	111.677851721
700.0	112.489225676
705.0	104.578189944
710.0	104.088674851
715.0	111.672059759
720.0	101.547201416
725.0	106.03840537
730.0	106.164426063
735.0	104.756590386
740.0	105.010158512
745.0	113.678815847
750.0	114.020551928
755.0	103.227742704
760.0	108.724214367
765.0	112.374902762
770.0	114.516478885
775.0	111.912413652
780.0	117.510696605
785.0	116.816031854
790.0	115.822507577
795.0	105.716798681
800.0	101.803499275
805.0	99.7815359466
810.0	110.18267043
815.0	109.805284269
820.0	110.364018455
825.0	116.281288909
830.0	112.741194335
835.0	103.132512569
840.0	111.076903828
845.0	110.840091669
850.0	106.745205577
855.0	109.985240356
860.0	117.942642868
865.0	119.022254225
870.0	121.956906684
875.0	125.256275655
880.0	124.047143614
885.0	120.203696807
890.0	111.073050678
895.0	124.892162083
900.0	114.465364134
905.0	111.543038085
910.0	113.584272653
915.0	109.794223818
920.0	114.963067316
925.0	107.935575425
930.0	112.378937326
935.0	105.917858925
940.0	115.831129864
945.0	114.986853582
950.0	106.295105382
955.0	114.356493553
960.0	116.562677552
965.0	116.696356283
970.0	112.362929618
975.0	103.210199662
980.0	102.654795923
985.0	123.134673789
990.0	111.438228283
995.0	103.442193094
1000.0	111.044897887
1005.0	106.640589378
1010.0	119.084120515
1015.0	115.067767464
1020.0	109.524022321
1025.0	114.098846397
1030.0	107.244247263
1035.0	112.68275681
1040.0	120.843841286
1045.0	106.291352053
1050.0	119.450577497
1055.0	110.442326205
1060.0	120.048169274
1065.0	119.394720683
1070.0	119.936833141
1075.0	115.54437226
1080.0	120.614779429
1085.0	113.46485575
