# Time(ps)	Average lipid per area
0.0	1771.09121581
5.0	1301.38201117
10.0	1654.51682926
15.0	1275.70401084
20.0	1824.55879026
25.0	1158.80534807
30.0	1046.56939362
35.0	1136.57201073
40.0	1037.81280188
45.0	1119.86223663
50.0	1396.9876422
55.0	1069.82694078
60.0	1065.83622237
65.0	1076.55612889
70.0	1136.02951847
75.0	1230.76421444
80.0	1455.13608606
85.0	1431.73026435
90.0	1187.89769725
95.0	1063.93280142
100.0	1194.04894324
105.0	1024.50696615
110.0	993.329391747
115.0	1019.61294653
120.0	1107.31435245
125.0	984.305948577
130.0	959.534969732
135.0	986.741683276
140.0	1094.73654349
145.0	1093.42192963
150.0	1108.63962816
155.0	933.343763433
160.0	1526.47894802
165.0	1265.2698244
170.0	1160.00376217
175.0	1167.78119732
180.0	1205.64365859
185.0	1243.60498999
190.0	1049.68813752
195.0	1030.84347573
200.0	1132.73353815
205.0	1134.26088961
210.0	1309.2875456
215.0	998.29871333
220.0	976.421176308
225.0	910.153206304
230.0	1284.19573881
235.0	1358.82041138
240.0	1355.14746551
245.0	1020.9322825
250.0	907.416477887
255.0	1336.42570184
260.0	943.021816195
265.0	1251.54963341
270.0	1273.17910716
275.0	1282.24511921
280.0	1293.19477939
285.0	1257.83981273
290.0	1243.67356424
295.0	529.886753619
300.0	500.185610998
305.0	975.833609104
310.0	1139.42402184
315.0	1024.12331834
320.0	1228.23824995
325.0	1464.99208307
330.0	1337.44494516
335.0	1249.18520343
340.0	973.972152518
345.0	1260.8227371
350.0	1220.34258134
355.0	1207.57085965
360.0	1295.62884174
365.0	1017.25373758
370.0	1259.37725836
375.0	1282.097778
380.0	476.994341851
385.0	1314.46553816
390.0	1149.1217395
395.0	487.678222504
400.0	1273.68898409
405.0	1268.27616298
410.0	1256.29497986
415.0	1175.29365476
420.0	1153.85567489
425.0	1268.65830377
430.0	483.230382664
435.0	1178.99562813
440.0	1280.81555334
445.0	1209.03523126
450.0	1342.87876457
455.0	1138.31839133
460.0	1197.63055232
465.0	1023.4530769
470.0	1028.53485434
475.0	1049.81604592
480.0	1394.47207232
485.0	1434.20380813
490.0	976.965931175
495.0	1042.64503612
500.0	1397.95133232
505.0	1335.36623489
510.0	1379.64589496
515.0	1051.57801207
520.0	1431.51099661
525.0	1311.67954494
530.0	1301.14768074
535.0	1392.63718398
540.0	1379.93035833
545.0	1335.52749587
550.0	1332.39210663
555.0	1301.69718861
560.0	1254.74112348
565.0	1260.51261646
570.0	1139.24001315
575.0	1132.89470976
580.0	1285.65135757
585.0	1510.94254749
590.0	1242.83785753
595.0	1360.62774795
600.0	1239.77790167
605.0	1371.91444789
610.0	1397.12910187
615.0	1304.22301271
620.0	1594.12123024
625.0	1690.69666556
630.0	1535.49440447
635.0	1562.02413869
640.0	1816.45054738
645.0	1432.50374325
650.0	1279.98685228
655.0	1238.08884188
660.0	1753.20377328
665.0	1655.43865479
670.0	1892.71811599
675.0	1465.64450482
680.0	1368.56158986
685.0	1261.63597962
690.0	1257.05326001
695.0	1070.59563387
700.0	1635.82379677
705.0	1303.94637449
710.0	1385.38831326
715.0	1430.69289091
720.0	406.487065104
725.0	1125.51248908
730.0	1076.21161577
735.0	1084.76548738
740.0	1102.60392138
745.0	1507.97521896
750.0	1154.45102312
755.0	1183.65230515
760.0	1184.841527
765.0	1211.58726137
770.0	1482.11192852
775.0	1227.00622984
780.0	1295.20679961
785.0	1303.13324019
790.0	1293.83981884
795.0	1027.4027595
800.0	1973.72673042
805.0	1506.88252784
810.0	1507.44674441
815.0	1144.59683987
820.0	1193.71403094
825.0	1174.52058776
830.0	1538.25924004
835.0	1969.40278485
840.0	1391.32636562
845.0	1473.52723137
850.0	1372.51022104
855.0	937.171547584
860.0	1560.94618985
865.0	1391.46001436
870.0	1456.87531038
875.0	1929.42968978
880.0	1032.46690001
885.0	1391.9003639
890.0	1419.13393349
895.0	1514.5138838
900.0	1455.38859679
905.0	1511.15522636
910.0	1497.33978037
915.0	1084.9270002
920.0	1403.59469634
925.0	1200.7733939
930.0	1413.78221917
935.0	1473.84950815
940.0	610.637199708
945.0	745.945309103
950.0	405.82545678
955.0	588.594020493
960.0	717.214710676
965.0	986.45490707
970.0	1428.0930171
975.0	1125.68918779
980.0	1039.54671724
985.0	1065.37209884
990.0	872.569663354
995.0	580.947223205
1000.0	1352.09368674
1005.0	927.966550372
1010.0	967.640437466
1015.0	1255.92968603
1020.0	1684.36819554
1025.0	1917.00407345
1030.0	1095.58363373
1035.0	949.337486463
1040.0	1116.78434694
1045.0	1871.93536712
1050.0	1513.46207201
1055.0	570.335663111
1060.0	974.790920128
1065.0	1076.87719589
1070.0	723.983235135
1075.0	508.457416241
1080.0	925.186137354
1085.0	1350.85998732
1090.0	1392.08407305
1095.0	1087.80817581
1100.0	1806.48592474
1105.0	1862.85304656
1110.0	1367.66722613
1115.0	1442.56127086
1120.0	1825.6602107
1125.0	1402.09486453
1130.0	566.633683318
1135.0	503.49156043
1140.0	986.297860661
1145.0	1813.57188483
1150.0	1848.87955863
1155.0	1535.31853505
1160.0	853.655904205
1165.0	1425.8638941
1170.0	1793.4961587
1175.0	1807.0626667
1180.0	1475.16282986
1185.0	1509.28395054
1190.0	1784.4514001
1195.0	1483.63331028
1200.0	1438.91522612
1205.0	1430.3854047
1210.0	1500.36393289
1215.0	1014.14048788
1220.0	1508.82811552
1225.0	1467.60828571
1230.0	1080.88117015
1235.0	1082.30242501
1240.0	951.558722152
1245.0	1770.23989384
1250.0	1480.76924168
1255.0	1779.30286174
1260.0	670.165165077
1265.0	1415.92602381
1270.0	1315.94964707
1275.0	1611.4770674
1280.0	1326.12371281
1285.0	1748.43370847
1290.0	1838.21909437
1295.0	1832.53337128
1300.0	1425.7902439
1305.0	1889.79458144
1310.0	1303.27325446
1315.0	1704.93896806
1320.0	1347.89490151
1325.0	972.646331329
1330.0	1668.83039528
1335.0	1734.89024087
1340.0	1230.3630518
