# Time(ps)	Average lipid per area
0.0	52.6806697845
5.0	50.7600440979
10.0	55.8336746693
15.0	54.4400086403
20.0	56.346622467
25.0	53.6304900646
30.0	43.7707471848
35.0	46.4398593903
40.0	44.3132376671
45.0	51.1722240448
50.0	48.065032959
55.0	60.6125736237
60.0	60.136826992
65.0	61.6766748428
70.0	52.6972584724
75.0	59.5077118874
80.0	45.0835123062
85.0	42.3274259567
90.0	53.4423995018
95.0	60.8147015572
100.0	51.0853648186
105.0	75.9777584076
110.0	70.966012001
115.0	72.1237754822
120.0	82.1522474289
125.0	70.6738462448
130.0	79.6062269211
135.0	92.3485927582
140.0	41.4648051262
145.0	52.6170940399
150.0	43.9356298447
155.0	78.7555885315
160.0	85.6835737228
165.0	52.5876691341
170.0	39.9106779099
175.0	37.0281922817
180.0	33.0469479561
185.0	43.3321256638
190.0	51.0998682976
195.0	78.6983599663
