# Time(ps)	Average lipid per area
0.0	52.6806697845
5.0	50.7600440979
10.0	55.8336746693
15.0	54.4400086403
20.0	56.346622467
25.0	53.6304900646
30.0	43.7707471848
35.0	46.4398593903
40.0	44.3132376671
45.0	51.1722240448
50.0	48.065032959
55.0	60.6125736237
60.0	60.136826992
65.0	61.6766748428
70.0	52.6972584724
75.0	59.5077118874
80.0	45.0835123062
85.0	42.3274259567
90.0	53.4423995018
95.0	60.8147015572
100.0	51.0853648186
105.0	75.9777584076
110.0	70.966012001
115.0	72.1237754822
120.0	82.1522474289
125.0	70.6738462448
130.0	79.6062269211
135.0	92.3485927582
140.0	41.4648051262
145.0	52.6170940399
150.0	43.9356298447
155.0	78.7555885315
160.0	85.6835737228
165.0	52.5876691341
170.0	39.9106779099
175.0	37.0281922817
180.0	33.0469479561
185.0	43.3321256638
190.0	51.0998682976
195.0	78.6983599663
200.0	33.1256709099
205.0	33.5882027149
210.0	99.6753101349
215.0	87.6463289261
220.0	86.6563029289
225.0	84.6144680977
230.0	97.401058197
235.0	88.2596006393
240.0	86.1105690002
245.0	86.7709560394
250.0	93.5058736801
255.0	94.9454669952
260.0	103.2979002
265.0	114.826327324
270.0	95.9295501709
275.0	95.3023552895
280.0	103.5176754
285.0	98.6862926483
290.0	84.7612142563
295.0	89.0669946671
300.0	94.4044370651
305.0	103.354779243
310.0	87.203748703
315.0	91.6027259827
320.0	49.355553627
325.0	100.979589462
330.0	92.5959272385
335.0	94.9033031464
340.0	74.1724429131
345.0	83.4283833504
350.0	92.1530704498
355.0	101.476416588
360.0	90.3726711273
365.0	45.7089004517
370.0	82.2474658489
375.0	81.0909538269
380.0	93.1407260895
385.0	88.2545337677
390.0	82.199742794
395.0	91.346665144
400.0	81.7706296444
405.0	98.163933754
410.0	88.035598278
415.0	84.8154697418
420.0	73.4365403652
425.0	77.8060793877
430.0	91.4266262054
435.0	91.4933786392
440.0	81.7945876122
445.0	88.7197542191
450.0	81.7273507118
455.0	82.8325874805
460.0	89.3447780609
465.0	104.819838524
470.0	103.883684158
475.0	92.9281997681
480.0	84.0326356888
485.0	81.8362894058
490.0	99.0603046417
495.0	116.615383148
500.0	91.5796089172
505.0	69.9466400146
510.0	82.4673976898
515.0	49.2784461975
520.0	84.975315094
525.0	77.0632739067
530.0	69.1613903046
535.0	74.777510643
540.0	70.4263076782
545.0	72.0262718201
550.0	71.188375473
555.0	77.6571149826
560.0	60.0731582642
565.0	72.2763605118
570.0	73.7190449238
575.0	66.1229639053
580.0	83.6773900986
585.0	81.0411868095
590.0	84.8895244598
595.0	75.311498642
600.0	87.0238580704
605.0	77.1140871048
610.0	72.011007309
615.0	50.791513443
620.0	53.8012561798
625.0	67.394315362
630.0	61.1909915209
635.0	68.7391067743
640.0	64.9076211452
645.0	78.8616428375
650.0	90.2423171997
655.0	78.4087171555
660.0	62.432394743
665.0	60.5573549271
670.0	72.4217414856
675.0	71.808318615
680.0	68.441532135
685.0	85.8082108498
690.0	74.6944870949
695.0	99.9873838425
700.0	76.0424408913
705.0	94.4032740593
710.0	100.750489235
715.0	99.4182653427
720.0	28.0208721161
725.0	38.5398521423
730.0	24.6036834717
735.0	33.2979326248
740.0	32.0884933472
745.0	96.0726919174
750.0	72.506816864
755.0	58.4371681213
760.0	58.5282645226
765.0	41.8620529175
770.0	81.0256624222
775.0	59.088104248
780.0	46.7296791077
785.0	46.9852457047
790.0	47.6350507736
795.0	71.5065002441
800.0	72.4006867409
805.0	69.9722528458
810.0	66.4049258232
815.0	47.343629837
820.0	89.922513485
825.0	55.0255670547
830.0	92.1813483238
835.0	64.3611068726
840.0	57.813806057
845.0	56.7904372215
850.0	57.3821930885
855.0	66.159828186
860.0	96.3216023445
865.0	59.0360040665
870.0	91.9274272919
875.0	89.39914608
880.0	88.4069929123
885.0	94.6640233994
890.0	91.2221875191
895.0	84.5853822231
900.0	91.9349405766
905.0	101.211029053
910.0	101.602525234
915.0	88.9018974304
920.0	84.8985323906
925.0	84.9147310257
930.0	85.0716042519
935.0	78.2537839413
940.0	81.9417915344
945.0	84.5303463936
950.0	80.4177899361
955.0	102.440824509
960.0	88.9512753487
965.0	90.599411726
970.0	97.4927294254
975.0	81.9820337296
980.0	88.1437008381
985.0	95.9291667938
990.0	94.9731216431
995.0	96.5175333023
1000.0	91.3384990692
1005.0	84.8166303635
1010.0	87.5517969131
1015.0	78.4359130859
1020.0	71.5671463013
1025.0	86.8753490448
1030.0	80.676574707
1035.0	74.4558324814
1040.0	83.0458183289
1045.0	76.8264169693
1050.0	92.879727602
1055.0	78.1646418571
1060.0	85.2184631824
1065.0	80.9168651104
1070.0	85.1120665073
1075.0	79.023015976
1080.0	98.3062419891
1085.0	84.7061910629
1090.0	78.5839567184
1095.0	79.5408992767
1100.0	81.5214958191
1105.0	76.7412526608
1110.0	77.4627451897
1115.0	76.2040622234
1120.0	76.0874152184
1125.0	80.051800251
1130.0	82.3350172043
1135.0	95.2853803635
1140.0	92.1106233597
1145.0	95.4109010696
1150.0	87.8130824566
1155.0	94.5949544907
1160.0	79.9855947495
1165.0	82.3774688244
1170.0	84.0168843269
1175.0	92.2930393219
1180.0	81.8455171585
1185.0	91.1590759754
1190.0	91.549012661
1195.0	99.7863767147
1200.0	87.0143530369
1205.0	81.7947843075
1210.0	84.4617109299
1215.0	82.8945844173
1220.0	83.7796683311
1225.0	89.4710729122
1230.0	82.3287861347
1235.0	77.4522171021
1240.0	86.76583004
1245.0	78.7702970505
1250.0	75.6610791683
1255.0	87.6601424217
1260.0	78.5678009987
1265.0	75.0658090115
1270.0	86.2964172363
1275.0	80.5700559616
1280.0	83.805270195
1285.0	75.0250606537
1290.0	79.2734279633
1295.0	85.8997917175
1300.0	91.6135730743
1305.0	84.2799739838
1310.0	92.5859699249
1315.0	82.9550933838
1320.0	87.672044754
1325.0	86.1433963776
1330.0	90.2995872498
1335.0	92.5091171265
1340.0	100.40945816
1345.0	98.5742311478
1350.0	91.0377082825
1355.0	88.0432910919
1360.0	64.2420196533
1365.0	62.9722490311
1370.0	84.4499950409
1375.0	71.9723968506
1380.0	69.0231838226
1385.0	63.3747324944
1390.0	57.3690180779
1395.0	75.4055838585
1400.0	62.5390992165
1405.0	57.4935231209
1410.0	77.0502719879
1415.0	52.1176171303
1420.0	62.6008930206
1425.0	63.9881811142
1430.0	58.7997925282
1435.0	53.64108181
1440.0	70.5565404892
1445.0	67.1995754242
1450.0	49.8884320259
1455.0	65.9228191376
1460.0	67.1061496735
1465.0	73.1813964844
1470.0	76.7440290451
1475.0	62.8160581589
1480.0	66.7710762024
1485.0	62.3141679764
1490.0	66.4308176041
1495.0	59.7701587677
1500.0	58.9252109528
1505.0	65.6039705276
1510.0	56.7942790985
1515.0	75.2523822784
1520.0	76.2010917664
1525.0	80.7763624191
1530.0	76.6806240082
1535.0	79.4363336563
1540.0	73.1028842926
1545.0	73.3264141083
1550.0	92.1607189178
1555.0	74.0218086243
1560.0	73.5505142212
1565.0	70.2193317413
1570.0	73.35958004
1575.0	70.315952301
1580.0	71.084523201
1585.0	78.544506073
1590.0	62.9472980499
1595.0	88.451842308
1600.0	77.5102801323
1605.0	78.4604520798
1610.0	77.4043617249
1615.0	72.0797719955
1620.0	71.932012558
1625.0	75.426358223
1630.0	64.318520546
1635.0	56.0846114159
1640.0	43.7562561035
1645.0	51.3602657318
1650.0	57.6752824783
1655.0	58.1732463837
1660.0	61.1118459702
1665.0	67.0094137192
1670.0	76.5173187256
1675.0	88.4381837845
1680.0	86.9645853043
1685.0	90.6218242645
1690.0	96.5748386383
1695.0	84.3578538895
1700.0	80.9419727325
1705.0	80.9081630707
1710.0	90.0572490692
1715.0	87.4012765884
1720.0	95.3861522675
1725.0	89.6476078033
1730.0	79.6796524525
1735.0	75.0401668549
1740.0	81.9481515884
1745.0	77.787260294
1750.0	80.7364587784
1755.0	85.7768611908
