# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	46.6692780755	110.275395212	82.8154992723	83.4190440388	92.7596740921
5.0	46.6504381628	110.497722839	82.7383249865	87.6048863948	92.2258894344
10.0	48.3974356441	109.553286936	80.5756812017	87.6943516957	91.613603932
15.0	46.2385863969	111.506412223	83.5299053096	89.0946289191	91.1793978178
20.0	46.0765967913	110.742239119	83.959435606	86.5102439271	92.1395822123
25.0	43.0400964618	112.104568204	89.7042744789	85.7169943952	91.7590813348
30.0	42.0262828555	114.485438443	91.0750065837	86.7348892415	90.0704570741
35.0	43.3211257523	112.727330649	89.6163992785	86.2370457409	90.6013363656
40.0	47.0837799753	112.142147076	82.3978916578	81.6861503764	90.6130736427
45.0	47.3257152198	111.34285656	82.159062011	88.0537552308	90.5066365176
50.0	47.3360891917	109.411372198	85.1757646655	86.7120931667	89.8363928725
55.0	47.1155034902	112.349846703	83.16716859	85.5288763824	89.2651600004
60.0	50.0980773218	106.431338202	84.1503683255	86.0280124187	88.2837461171
65.0	46.7007236187	110.774225539	84.3223795226	81.1524136864	91.068303946
70.0	46.3119081876	112.023213934	82.1820893664	80.3656796576	92.601976192
75.0	46.5590142986	109.908232349	84.9392489423	77.8224392403	91.9955967279
80.0	52.3527153837	102.486873269	86.0996916421	81.4840465052	86.4191146872
85.0	46.2266721239	111.304982875	85.5610069296	81.3817173499	90.3480214449
90.0	47.8394353376	114.53552546	81.2694511741	83.2394382731	87.5687335719
95.0	47.4194343346	109.51839308	85.5264828592	81.6701484795	89.7511609823
100.0	47.6766648267	110.837178761	86.9959967907	83.2519716587	86.4373385516
105.0	47.5825424857	112.020379119	85.2611894658	76.0841784616	87.7205115813
110.0	45.246299324	110.67018413	88.9922848104	76.2009022587	90.373413842
115.0	48.7824192873	110.255237286	85.6176422634	83.4509148102	86.0285697279
120.0	49.4226192813	110.139295411	84.4558817422	83.1250286893	85.9420171152
125.0	45.3889528883	110.142135394	86.2610017412	83.5620592162	92.3382279494
130.0	48.0153428002	107.902680479	84.4136536306	83.7463024541	90.9692041264
135.0	47.3484364327	110.936462368	83.0315128377	91.6384785372	89.7238964085
140.0	46.4207876544	111.244538114	87.01236189	89.6459865288	87.8876267389
145.0	46.7981521689	109.609258343	85.9611239223	86.1452386139	90.0644359955
150.0	47.7433633157	109.783463723	83.9808346223	83.8194273149	90.0144362136
155.0	46.5173415181	111.452736963	85.315917689	82.0490726488	89.7727622817
160.0	45.3775151445	113.264164345	85.232066082	85.6192792666	89.9594344094
165.0	47.5262808537	108.596236295	87.2414003902	87.6580645513	88.3176391993
170.0	48.208776305	107.490533113	89.7877137339	93.7633938843	85.156029656
175.0	48.9553377889	107.932459348	87.4175068192	84.2560762263	86.3048741799
180.0	49.4112805211	106.482031835	86.9494168973	79.6455174994	87.7257589125
185.0	51.208440475	106.175302182	85.69400567	75.0609143686	86.0266878966
190.0	49.0139132972	106.401147555	88.482167507	70.3020525504	88.1563072233
195.0	48.253489574	107.968465835	89.2703164963	64.649002193	87.9658090225
