# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	51.6846800133	82.6554517513	100.455394297	61.9281928169	96.6219012586
5.0	52.3964420777	81.4544752408	101.969553837	58.4794788414	95.3816761451
10.0	52.9354504451	83.0402089989	100.482348938	54.4326525854	94.4609612287
15.0	51.7192614281	85.0159660076	97.4248503991	54.3907657966	97.6734789837
20.0	51.4808361277	83.895298942	99.8775574175	53.3220238392	97.1703556047
25.0	52.8085266319	86.7379817197	97.5279451741	56.2668601643	93.4924165965
30.0	52.4751991746	85.9268410132	97.8474522364	61.8201203136	94.1274847011
35.0	52.8260214275	83.3281416352	97.0411770586	55.7701261132	97.3551140358
40.0	50.7906331537	86.2087915667	96.9690118459	60.288840018	98.1583500833
45.0	53.1521183843	84.1996203981	95.6441758857	64.9590523613	96.1698516086
50.0	51.9410694156	86.5839171863	92.9661372015	67.5250857692	98.3614400557
55.0	53.1454737501	82.2809571062	95.2581902734	63.8094864344	98.5642425738
60.0	53.932021676	82.4478052425	96.8389259344	66.4589163607	95.1367151366
65.0	52.9413170163	80.7232825611	97.7125897377	66.632536949	98.0390913794
70.0	53.5393716749	83.3538130346	96.8383348549	69.8973204116	94.6727212336
75.0	50.4432151902	84.700869762	100.733524292	66.6603567299	96.3359531095
80.0	49.0523651817	83.1166046441	102.398707198	66.9661156593	99.1726883886
85.0	50.4362994937	80.5706502574	102.557450594	67.1063092604	98.7937679594
90.0	53.2854607683	81.2144551538	96.4662861409	63.0462728461	98.3397896405
95.0	53.3800927154	81.7769329514	92.6317426018	65.9246554996	100.751259859
100.0	55.3250786755	79.6476209388	92.2136695191	70.1487784861	98.9443699651
105.0	55.2801219165	80.1029272399	90.5249777303	66.3397603837	100.479792654
110.0	54.5262654326	82.3234571555	95.4965544647	66.2348616125	95.3029416777
115.0	55.1763275815	84.6966468183	95.619426641	64.84979419	91.6574837407
120.0	52.828348224	80.8768031564	95.6936899513	65.4174482314	100.049887076
125.0	53.7456171005	81.8819612424	95.0050502268	63.5187379348	98.0198282548
130.0	54.2301244065	81.5426805404	95.4770080799	60.2859188828	97.2886656489
135.0	50.574031936	82.8789060088	98.6855398672	61.8972826138	100.215747158
140.0	50.4841488348	83.1612534979	97.8844133065	65.0801728969	100.515977033
145.0	51.0101396396	86.1110389099	96.6195022226	62.5571632623	97.904776227
150.0	53.7233354116	82.7578200168	93.3976586697	69.8079951143	98.0062807885
155.0	51.4410730411	84.0517199533	97.0533414235	62.379564114	98.7295362124
160.0	51.2719471687	84.635440899	98.7339397912	66.0988360493	96.5996483465
165.0	50.7015885047	82.5093182991	99.5188312091	64.5761733177	99.3123498106
170.0	53.0586973432	79.1106520684	97.0997649633	67.4128379309	99.8903804795
175.0	52.1973046309	81.1609882497	97.5776306904	67.1526396244	99.158680863
180.0	51.78895905	82.0263444338	97.4630751674	61.3010790524	99.7982715379
185.0	53.2970964477	79.6814505322	97.7095534849	57.6270631132	99.2724215083
190.0	53.2869683461	79.6032799073	94.7806518895	65.5176574413	101.217963137
195.0	52.5223166251	82.6603089999	95.5519743663	63.8197373735	99.1658785897
