# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	60.6943895258	87.777664415	80.3327404727	43.9654658544	93.3870302428
5.0	57.1905176634	90.0061601352	73.3056287795	43.0900438485	104.578071586
10.0	59.0718024306	87.1340765317	80.8556573232	45.5392118976	96.6476300366
15.0	62.904194229	85.655152402	75.4261844853	43.4764533236	95.5547171974
20.0	62.8684534686	86.7771874617	73.4450332889	43.5459970536	96.2802583912
25.0	62.3147953907	87.3535237998	79.2856536523	44.6825807071	91.4408859266
30.0	62.820491362	86.44541644	78.335211973	47.3171037638	91.9296915136
35.0	64.4398088929	86.1604203443	75.6558954179	42.8655713436	91.8324382035
40.0	62.9254099593	81.2600873857	79.6187206168	42.6336080213	96.218264173
45.0	60.6454774669	82.0037400737	96.5924313121	44.9349233749	84.5281378524
50.0	63.6280690726	86.3563357002	78.8113177665	41.7370091166	90.5330650732
55.0	61.8031515236	84.6486265766	88.4258376359	42.4649849171	87.1646501426
60.0	61.7485261997	86.6393158843	87.7239982981	49.6073430866	85.2007334816
65.0	61.416529113	82.0747175388	90.6109055919	44.8123102317	88.3106190604
70.0	61.0782312969	78.3780249164	97.8785795284	42.7214775045	86.3521149762
75.0	61.2637775759	81.104652293	96.4496253126	45.8813491407	84.2245531673
80.0	61.3747315558	80.3008413243	96.1020947091	45.342570712	85.1728596345
85.0	62.5295673756	80.2694764118	96.9828047348	45.6341759303	82.0729534439
90.0	61.0601885949	81.6264648165	97.8009267098	44.4969276419	83.0322114842
95.0	60.7803352225	83.1573983302	96.1723934839	44.6943281311	83.5068336355
100.0	60.2027801122	78.8773975493	92.9997789237	43.6773753678	91.8988770828
105.0	60.4978247125	85.0631810518	92.0695981702	44.9565829437	85.8324476978
110.0	63.3765255475	80.0831676231	91.0866365442	46.7363518875	85.7615774286
115.0	63.9335351734	77.9277429379	89.5870967956	48.8537568601	87.9409459142
120.0	61.4087595977	75.2852535386	95.7551324112	36.8912179949	91.2777999859
125.0	61.2558806664	75.2000774352	96.9948730568	45.1202033598	89.7302914397
130.0	66.5137331774	81.7523801153	89.5737642308	45.2427368775	79.3288730131
135.0	64.5450233919	72.2501718735	94.993052298	45.175852019	87.8978069849
140.0	60.1262795298	80.2319310446	88.7298549587	46.313846779	94.2766982971
145.0	61.8504246443	83.3044782044	90.7969732154	43.8941449766	86.137351956
150.0	61.938358551	82.2465257129	82.565336509	43.8474973845	94.432661378
155.0	62.8975511639	84.6149565955	88.5008982121	43.3179646371	84.8568036785
160.0	60.3859121561	86.3867928003	85.0858415663	44.1049616991	91.1030649505
165.0	60.8381801539	86.1945939295	86.8666339293	33.8284215754	89.8155612134
170.0	60.6001018595	86.6054937187	86.2891191378	48.8587226688	88.8977144799
175.0	59.7868656408	85.230931504	84.2587227085	41.5677234189	94.4551583904
180.0	54.6532406566	93.7942897155	85.7548767017	35.2816231254	95.4410987676
185.0	57.4393373534	91.0958755638	85.5573215574	46.2435471809	91.6490102627
190.0	62.7840895889	83.9620339511	84.5565972213	44.9907055538	89.119203368
195.0	61.9441018501	84.8556871258	84.8545780641	42.4822767754	89.888094805
