# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	52.2050946828	90.9215273558	92.7835669278	197.617675353	80.6508721148
5.0	49.5609066036	90.8843743252	94.817639112	198.374513944	84.0698562779
10.0	48.786079052	91.3920417132	94.3622551076	199.494465109	85.4098185408
15.0	50.3864940332	93.3251932269	93.908818191	207.016441699	79.9317449203
20.0	49.9987899556	93.7405090701	94.6338176619	203.558592686	79.984965357
25.0	52.4331073277	93.5260257654	87.1820257533	193.917179252	83.0017791369
30.0	52.3753783748	94.7587775125	90.016480817	174.787124351	81.2463813374
35.0	48.4398949434	99.8309825893	87.0185110269	188.303289356	85.3915605687
40.0	47.0288549488	95.9104611881	95.2896232769	192.075575988	84.3130811783
45.0	51.4698799879	92.4810337781	90.2820961585	189.0177479	83.672891108
50.0	47.8269443463	93.8067042721	93.963505412	197.680374809	85.4536886552
55.0	50.2917515882	93.9839246172	88.89557899	190.974454364	85.5784121806
60.0	50.798844874	91.4080521865	89.8866127655	193.326244715	86.0131513244
65.0	50.3504993168	90.2679334864	94.6911742483	183.958278948	84.6626516413
70.0	51.2341611951	89.7577430781	88.9216076274	179.169549289	89.0769035914
75.0	51.5712736852	89.5267474253	88.949421449	176.849597411	88.8406395163
80.0	49.9739991169	89.5008351857	88.2849413475	191.648906016	91.1793584062
85.0	50.1501309489	91.8912196654	88.5976102944	200.744561539	87.245771988
90.0	47.9296091151	98.9947968024	86.7905727828	193.654509525	86.9182889299
95.0	47.7833313876	99.8330508971	86.2604249825	198.595698824	86.3557734491
100.0	47.8083465183	98.9593690751	89.2897713924	187.069319086	85.6056331626
105.0	49.6379506279	95.6190551485	89.5179046432	173.299634814	86.4583348222
110.0	49.2698183094	92.5870159967	92.0365743291	191.660953294	86.1238019894
115.0	48.8820607852	92.0037432222	88.8069099583	195.23436924	90.031947245
120.0	50.0735045076	92.1936157299	90.0684028731	181.386725801	87.8337151964
125.0	49.3144509922	95.2267412876	88.2480835761	187.280940899	87.2423351274
130.0	49.1780365839	92.6745898786	89.0266676559	196.045023202	88.4902398456
135.0	50.321707081	92.0923368946	87.5093579115	194.150605994	88.3401514223
140.0	48.5704551725	95.744557745	88.4054790594	196.096854337	87.1894246938
145.0	47.655874298	93.6530066481	94.5977862205	181.395609401	87.0072097013
150.0	48.0160010263	93.1509095071	93.1278253288	183.327802319	87.91872645
155.0	49.4076546907	92.1187961016	89.4706138648	180.19302823	89.772478177
160.0	50.6902444529	88.9258402906	100.559686962	185.05746173	79.9337392781
165.0	50.1091294518	89.8084953696	98.5265519376	175.868738516	80.8434444013
170.0	48.7044545986	91.2755331869	93.664594191	186.007444497	87.666064569
175.0	50.3499981741	93.9239593208	87.1424536284	174.888820951	88.7083091208
180.0	49.4136085603	91.1342055489	90.5541466379	180.644143643	89.6785582078
185.0	49.9375234712	90.8737083792	92.2766106634	195.134886183	85.9382498353
190.0	49.1633163669	93.3996332083	91.8727907996	195.851202912	85.2526386704
195.0	49.8619735096	92.3951062891	88.6059259611	177.600098917	89.6250416899
