# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	60.6944605542	87.7774734348	80.3328574971	43.9653567646	93.3868005613
5.0	57.1906239355	90.0062790772	73.3057906699	43.0901141615	104.577660438
10.0	59.071726507	87.1341005562	80.855620612	45.5392093781	96.6477808303
15.0	62.9042549517	85.6551005813	75.4260569202	43.4767888897	95.5546462398
20.0	62.8683274283	86.7772574929	73.4451434211	43.5455773077	96.280316297
25.0	62.3149308771	87.3534608884	79.2854411229	44.6823971363	91.4409906252
30.0	62.820579291	86.4452857616	78.3352756488	47.3166571398	91.92969567
35.0	64.4397818393	86.1608084974	75.6557233857	42.8655400142	91.8323368021
40.0	62.9254294189	81.2599156987	79.618749342	42.6340058492	96.2182963226
45.0	60.6452799509	82.0040603434	96.5923230642	44.9349212308	84.528201849
50.0	63.627999726	86.3564837885	78.8112098624	41.7372552942	90.5332619494
55.0	61.8031084343	84.6487844445	88.4258591353	42.4650136392	87.164574378
60.0	61.7484346641	86.6393410749	87.7240309279	49.6072409538	85.201037063
65.0	61.4165542079	82.0747354375	90.6108910622	44.8126693198	88.3105123569
70.0	61.0782511404	78.3778382628	97.8788036942	42.7213308177	86.3518884735
75.0	61.2636267588	81.1045121051	96.4497161074	45.8812521351	84.2248365362
80.0	61.3747406947	80.3009774002	96.1021331947	45.3425636823	85.172761501
85.0	62.5295554422	80.2696214472	96.9827844098	45.6341139615	82.0728746655
90.0	61.0601001123	81.6265000718	97.8008828158	44.4969241794	83.0323234162
95.0	60.7801870975	83.1572906499	96.1724112638	44.6942162207	83.5071342792
100.0	60.2028202968	78.8773502237	92.9997096369	43.6774419627	91.8988911888
105.0	60.4979107352	85.0630556465	92.0694794304	44.9567378122	85.8323611046
110.0	63.3762734848	80.0830840884	91.0869404474	46.7367046996	85.7618786796
115.0	63.9334643195	77.9279180278	89.5869950024	48.8536574905	87.940998964
120.0	61.3925933514	75.2502600991	94.9783755553	45.2603847948	91.2075163071
125.0	61.2558251445	75.199927646	96.9951397425	45.1200914804	89.7301989697
130.0	66.5137831409	81.7520559786	89.5738772621	45.2428000161	79.3291500686
135.0	64.5449043649	72.2504568255	94.9927213034	45.1758677985	87.8980548093
140.0	60.1261304606	80.2319088844	88.7299117361	46.3139400888	94.2768133236
145.0	61.8504208093	83.3045968413	90.7970084999	43.8943258478	86.1373346626
150.0	61.9383783275	82.2463995461	82.56553696	43.8475210379	94.4325892882
155.0	62.8974842139	84.6148794284	88.5007828596	43.3179222538	84.8570148731
160.0	60.385909688	86.387019498	85.0857234639	44.1049776487	91.1030481735
165.0	60.7688664942	86.1452255573	86.4588140028	40.7323557844	89.6802005122
170.0	60.6000261356	86.6052366749	86.2892172171	48.8586231074	88.897982623
175.0	59.7870003211	85.2307818472	84.2586553656	41.5678643538	94.4550496128
180.0	54.6068848896	93.6865126779	85.172736948	43.7217854026	95.3215435532
185.0	57.4394711275	91.0956812305	85.5570047205	46.2433309672	91.6491875942
190.0	62.7841569152	83.9620349351	84.5565409893	44.9905981732	89.1191678408
195.0	61.9440211854	84.8557181348	84.8550475414	42.4822234529	89.8878959349
