# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	52.2049584604	90.9211174194	92.7837344556	197.61749356	80.6512534406
5.0	49.5609261492	90.8844429984	94.8174795901	198.376457314	84.0697119375
10.0	48.786008996	91.3921603572	94.3625109703	199.493225925	85.4097679552
15.0	50.3863129215	93.325356545	93.9091186079	207.016877046	79.9315118604
20.0	49.9989313052	93.7404606774	94.6337933437	203.559279974	79.9848598952
25.0	52.4330406746	93.5261048175	87.1822427003	193.917192121	83.0015479609
30.0	52.3754822614	94.7588156745	90.016322017	174.78639025	81.2463312489
35.0	48.4400743802	99.8308438551	87.0182379142	188.303967114	85.3915985228
40.0	47.0287267865	95.9106643803	95.2897044125	192.07652029	84.3129228705
45.0	51.4698813305	92.4809382689	90.282269402	189.01758609	83.6729760178
50.0	47.8269070258	93.8067162605	93.9635735733	197.679070149	85.4537526574
55.0	50.2915863989	93.9841806881	88.8957996933	190.975416617	85.5783296997
60.0	50.7987283894	91.4082560904	89.8866320282	193.326977485	86.0130938546
65.0	50.350457302	90.2680957517	94.6910241367	183.957779783	84.6627056459
70.0	51.2340739193	89.7577743782	88.9218361424	179.170201373	89.0769693797
75.0	51.5713027558	89.5267174405	88.9495142191	176.849762439	88.8405953689
80.0	49.9739469948	89.5009612047	88.2849653138	191.648730698	91.1793202127
85.0	50.150044646	91.8912098559	88.5976385257	200.744769807	87.2458368216
90.0	47.929367456	98.9948658356	86.7907675657	193.656075706	86.9183616467
95.0	47.7833443155	99.8333315139	86.2600633248	198.595763131	86.3558006756
100.0	47.808163667	98.9595066707	89.2898023147	187.069069529	85.6058190862
105.0	49.6378502819	95.6190670521	89.5182167757	173.298322737	86.4584225203
110.0	49.2699203038	92.5868200417	92.0363706763	191.66034684	86.1238799217
115.0	48.8821814608	92.0039250746	88.8064390582	195.233618173	90.0319151671
120.0	50.2703507683	92.8107824766	88.8063354033	181.38511707	87.8335665815
125.0	49.314286941	95.2265953231	88.2484139223	187.281329012	87.2424958729
130.0	49.1780720866	92.6743615657	89.0267006037	196.046010758	88.490210429
135.0	50.3217695501	92.0922471449	87.5094277184	194.152343651	88.3400324461
140.0	48.5704942512	95.744509097	88.4053678725	196.096819662	87.1893919923
145.0	47.6558263855	93.6528322128	94.5979212868	181.395257488	87.0073402742
150.0	48.0159809577	93.150849281	93.1277228728	183.327473139	87.9189391703
155.0	49.4076226122	92.1185960963	89.4707480726	180.193111943	89.7724989954
160.0	50.6901930668	88.9258933576	100.559830898	185.057085702	79.9335935203
165.0	50.3007021549	90.477281907	99.711759272	175.870075369	80.8432362414
170.0	48.7044631612	91.2755832746	93.6647776116	186.006117429	87.6659916912
175.0	50.3499345132	93.9241264527	87.1424886418	174.888665846	88.7083373514
180.0	49.6488035496	91.9656169445	89.1594985853	180.642472966	89.6784332405
185.0	49.9374295063	90.8739875325	92.2767401119	195.133329947	85.9381567014
190.0	49.1634137638	93.399568055	91.8726308533	195.851105777	85.2525195707
195.0	49.8621414609	92.394892624	88.6058405359	177.599843762	89.6250806154
