# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	29.4711264284	52.1798573198	52.2849682729	41.202503664	58.6010891652
5.0	29.4064759329	53.5902748096	50.2007565057	41.0368160913	59.2124529402
10.0	29.2895740947	52.771600212	51.9605953621	42.523206574	58.5323285973
15.0	29.4753899087	52.1046393311	51.9664612626	41.5907877729	58.9156907357
20.0	29.121709426	53.2142609939	50.7248406386	41.3254451749	59.6574432852
25.0	29.4958475835	53.9052961856	51.3381137001	42.7241233434	57.526290194
30.0	29.1318684055	54.019749957	52.6548122204	44.8882469979	56.7384241669
35.0	30.3438173213	51.9731322702	51.2942052925	42.0092832161	57.8735207818
40.0	30.5522632588	53.3919545404	51.5049694059	41.6622368744	55.8827519069
45.0	29.6879180121	53.4741557579	51.272182268	42.3614249657	57.668878717
50.0	29.7560026565	52.9693297512	50.7674512271	40.807806455	58.6471881769
55.0	29.9323511124	53.6003603683	51.5117338115	39.6409064036	57.1101917562
60.0	29.6942694145	55.0460933283	51.2910708851	43.4270026361	55.9607801795
65.0	30.1758935654	52.4595293711	51.695093518	41.3103290675	57.4320396001
70.0	29.828251237	51.9232296403	53.5177315873	41.1496796476	57.0392758182
75.0	29.7051068357	53.3485454679	52.3257702493	42.7926394505	56.768832005
80.0	29.7560176682	53.4149588461	52.1235329792	43.6361273713	56.6982020156
85.0	29.7925281157	54.9635683921	51.6273100362	44.2545297194	55.4613567485
90.0	29.5040155608	54.6294032104	52.9862123483	43.5497927944	55.2200035728
95.0	29.4656896615	54.4011191338	52.4917598441	42.3621218406	56.0886949154
100.0	30.2535189542	53.71160864	51.5204148106	40.7966943619	56.2332747065
105.0	28.941356318	55.251034418	51.5312544325	42.1659891318	57.1715539256
110.0	29.6547156394	53.7412184621	50.9479881269	41.8695243457	57.8092023891
115.0	31.0630322263	53.2396265246	49.7615609367	44.3863047188	56.3103649496
120.0	29.821084611	55.0491150939	51.2971980705	44.3611064645	55.6051650849
125.0	29.6488964954	55.0736951611	51.7998338851	44.3218135551	55.4764160092
130.0	29.6167724844	55.5004517092	52.7933722367	42.5531767701	54.396708217
135.0	30.3146864339	54.4863713199	51.9178140919	42.8495678021	54.7732670918
140.0	29.6256061684	53.9976243498	52.6108509108	44.2482020915	55.876496558
145.0	29.5062963452	53.5423255696	54.6988249166	42.840675488	54.8321479681
150.0	29.9279732945	52.5351046885	55.2609755285	42.7740572385	54.4966607751
155.0	29.0150336453	52.9079551408	55.6706695479	42.2258021798	55.6357486638
160.0	29.2803926425	52.1655387287	55.4836929333	42.9407230481	55.9443583906
165.0	29.2816430278	52.7794394881	55.5704861809	40.2960826415	55.5142291332
170.0	29.5133535067	52.7696552072	55.2727410426	47.5708756221	54.6011044053
175.0	29.590978354	53.0684820077	55.134032243	41.5678643538	54.8721309242
180.0	28.709432705	53.7454002504	57.0498866477	42.1378511076	54.177055345
185.0	28.6170574412	54.3096268747	54.6499553317	45.6270971939	55.6086328082
190.0	29.3886330821	52.2133009085	55.5625030513	43.5046074738	55.5527263866
195.0	29.1062034113	53.1162232445	54.5597559797	41.7567637618	56.2918973812
