# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	29.4809041605	53.5129828667	53.5512930557	46.9581601197	55.5332526748
5.0	28.1812107186	53.6608358405	53.5288855684	48.3103292912	57.8696612701
10.0	28.7451048588	54.3096358907	52.4704876936	45.4073209596	57.3360086818
15.0	28.3100490413	54.7319885302	54.6122263476	47.88970292	55.607882462
20.0	28.0974733452	54.8925788534	54.4420521389	43.8399834051	56.4306633098
25.0	28.9241792669	53.3918870239	53.3480961817	44.0789848238	57.2385983803
30.0	28.9171410202	53.4750615423	52.7562830484	42.8730046557	57.8227081057
35.0	28.8347410646	53.043994904	53.4719132787	44.4064917798	57.6211302185
40.0	27.9940850066	53.2585906126	52.7309868647	47.3070996003	59.4646101193
45.0	29.2524956524	53.0156090692	53.7505939453	45.7597597253	56.4278990283
50.0	27.800692018	54.3164502262	53.0814579532	45.67842872	58.640990589
55.0	28.2368513437	53.6048128951	53.3488137611	45.5915013417	58.248416027
60.0	28.4449782155	52.6621060234	53.2535467306	44.4197227872	58.9777803181
65.0	28.7843459631	52.4886860312	53.6006652715	43.950738951	58.2069582283
70.0	28.2554176101	53.4848705637	52.4389639221	46.1166941754	59.0976187391
75.0	28.8366357139	53.3839301108	51.7691445067	42.027025374	59.0479032745
80.0	28.1594526255	53.3301685744	51.1104440611	45.8568435999	60.6658801797
85.0	28.1610639398	53.3070280493	52.5182132405	47.0531551432	59.2991715237
90.0	28.3876607263	53.6899731792	52.4529107614	45.2711342013	58.6998582674
95.0	28.009537919	53.4069640531	52.6862740543	49.1194232936	59.1443827974
100.0	28.1843869786	52.960348283	53.8321343763	45.3474510671	58.5872051644
105.0	28.5206950259	52.5223427373	53.00037537	44.0212980009	59.2337709083
110.0	27.8660657847	51.8604692603	54.6392024133	46.2769742969	59.5043950449
115.0	27.8784670563	52.2878324873	52.4032489643	47.8410847863	60.9081702222
120.0	28.5781787409	53.0887565963	52.6743829653	44.989552233	58.7489009565
125.0	28.7214537257	54.0568578528	51.627443472	43.9041580382	58.5450341181
130.0	28.1604541196	53.192071611	52.0601137867	46.8814931753	59.844759159
135.0	28.1012091725	53.3304830254	51.7043477442	45.4562998483	60.2876196692
140.0	28.3564365179	53.7973155405	52.1283352483	44.7537667652	58.9989290993
145.0	28.4665154898	53.8592458822	51.7589440916	46.1114198038	58.9135528413
150.0	28.4605598802	53.7688063033	51.7863663236	46.6067877812	58.9416939182
155.0	28.2701637377	53.516347473	51.3795747075	47.711318534	59.8305310433
160.0	28.0110982965	53.2963942627	51.632693217	44.951001055	60.6168991361
165.0	27.6285647476	53.5498850766	51.2823059455	44.2677137822	61.5121722287
170.0	28.0254178681	53.7097292311	50.924404896	46.3013247351	60.6773372062
175.0	28.1864352054	53.9481367569	50.8579583542	45.3678519193	60.2700555692
180.0	27.8497481456	53.4147365797	51.8560167127	43.1951646906	60.7958651771
185.0	27.4227613354	54.5084616029	52.1737980482	44.2748037568	60.1620928936
190.0	27.6547819794	55.0044411741	52.2910646258	43.5705924663	59.1669343572
195.0	27.736767349	54.2996234592	52.014568695	44.7282685455	59.8409775729
