# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	48.927317297	106.268305756	88.0441539813	71.5152162149	88.735284119
5.0	49.469884793	110.165254931	82.4466031263	79.5087284564	87.9915896058
10.0	48.2036420328	111.310422824	83.3969969664	74.6084096714	89.0136368645
15.0	50.2375874004	107.927648609	84.0397467071	71.4298868991	88.0679698685
20.0	49.56241111	108.867022977	87.5718140313	76.1408426326	84.8289176621
25.0	49.8260312316	105.66035805	90.1236930048	76.7728815192	85.1483409636
30.0	48.7872026575	107.604861455	91.1572079434	86.6402135248	83.3646740081
35.0	49.7054480963	107.474679373	89.8311684871	87.6855810984	82.7473010463
40.0	48.6798612031	108.389213032	90.5081134471	84.6973353704	83.5735151772
45.0	49.8249976868	107.891327465	89.4052255799	77.2356792417	83.5197636575
50.0	50.3776716539	108.719596625	88.4013251728	74.0483366846	82.8084115368
55.0	49.0403126009	107.473688487	79.8959845948	110.377151663	90.7510804708
60.0	50.4498555619	108.568853211	85.9206464359	74.6845585271	84.9838213894
65.0	52.5503890604	107.835015705	87.5746014435	75.7341403398	79.9231885942
70.0	51.3501895659	107.966237755	88.2043827312	80.2010659746	81.1787508985
75.0	51.5958959879	107.98955945	88.4022986418	74.9634450256	81.0096836837
80.0	44.1626216185	112.744234083	85.524502113	101.509075517	91.0568869009
85.0	44.4473299398	109.644575569	86.8504923111	104.892731583	92.0554888984
90.0	44.3018913506	109.678270885	88.6562453575	103.042892847	90.8724297381
95.0	44.300818136	106.092058639	90.3118418357	85.1683719849	94.7582125877
100.0	45.4272360436	108.009433525	93.9073463566	82.9835444034	87.5707645255
105.0	41.7295032014	105.650857597	93.4929418885	80.156395799	97.9801664941
110.0	42.01289712	105.508172274	92.5209590501	85.0853516973	97.9380354543
115.0	41.7595145087	105.8963087	91.9009034041	82.7631405173	98.8469872777
120.0	41.2170574594	105.297193655	92.3840900638	82.9207968341	100.080453724
125.0	41.1321623165	105.599877317	93.0684851693	80.285886545	99.5950388413
130.0	41.0170880634	106.959211841	91.1761466505	81.5497759242	100.042640592
135.0	41.5404522389	105.786742974	92.0584345709	83.6006455503	99.1690583505
140.0	40.5791402695	106.519303702	92.9755498566	80.9108164967	99.8027994138
145.0	40.790911195	105.688034418	93.063517533	79.9413072385	100.2282997
150.0	40.7011031352	106.193007855	93.5398645878	83.8641679342	99.081927465
155.0	41.5668650229	106.404304857	92.3565863111	84.4842804475	98.1420419695
160.0	40.3507768762	107.285999111	91.2898407841	78.3223591759	101.268856812
165.0	40.6423980779	106.747242017	92.149656833	83.4751048713	99.934999654
170.0	40.834569143	106.682815706	92.2056393972	79.7163046597	99.9407747992
175.0	39.3376407244	107.042902057	93.4263662133	84.4514429995	101.00242324
180.0	40.7941400627	108.959431751	91.0075847255	84.4647518337	98.3484254869
185.0	41.3988343327	106.917979264	89.5030321602	89.8668320251	99.9943743845
190.0	37.9497575858	106.329924811	90.7104847398	113.835300906	103.997062925
195.0	38.1456123837	104.986683655	89.4969881802	123.349058107	105.089255963
