# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	53.5078220051	78.8369358391	97.5621957621	60.2399204092	99.5668955991
5.0	52.2940905396	79.0251694097	96.8042329554	64.4061510413	102.07164095
10.0	53.2016024655	79.7674193389	95.750754332	59.8079256445	100.92227946
15.0	53.325554481	80.6249039268	96.0064238696	57.8641727239	99.7811715925
20.0	51.4688299303	80.5184028107	96.7477135482	60.1611801529	102.704141979
25.0	52.834351848	82.6722385639	92.5699249674	63.3289835081	101.262623483
30.0	52.1279170606	84.9437259893	95.761095104	63.3260996789	97.5322241512
35.0	51.6528485145	84.8924535145	96.7950642796	64.9987429274	97.4357682407
40.0	49.7772445128	84.6756328133	99.6238166732	69.492258724	98.4086420825
45.0	52.0717304417	78.5666709618	99.9476846749	64.8351426564	100.102992707
50.0	49.897574936	82.7101500816	99.9683949481	71.0837085886	99.664240765
55.0	48.947597288	84.1656893916	99.9984326039	67.5851656937	100.431393392
60.0	50.8561668161	85.451200946	97.0476171094	68.0052992774	97.9425872323
65.0	52.1817087655	82.3936416576	96.3184406001	63.7065979851	99.4350397822
70.0	50.7274364378	82.7811622309	101.097872135	72.7467508863	96.7506348702
75.0	51.0809124133	81.390940358	99.0983856949	68.9659499907	99.6115421261
80.0	54.3814996906	78.8617047258	97.1456577737	69.964305303	97.1971336624
85.0	52.4191084428	79.785782362	100.684762794	62.2108372829	97.7880968349
90.0	54.2174960348	79.509888928	98.5495099271	59.5161688723	96.6583815654
95.0	53.3036815995	82.4912876645	94.7823329026	62.364686727	98.610256621
100.0	53.714420088	82.4155052792	96.3143068372	63.5489962794	96.3673025727
105.0	53.1224150487	83.0117310094	97.9936178015	62.3298064918	95.5656637666
110.0	54.0107586889	79.998095425	100.024873598	62.748254258	94.9326418182
115.0	54.4080345486	80.5337351048	99.5268594787	58.7126150989	94.4541357776
120.0	53.9831661133	82.2983692135	102.127449833	59.2706008898	91.1429603867
125.0	54.4554342225	87.6337008564	101.142038753	56.8612669957	85.9908767928
130.0	53.5986638309	85.8577191863	99.7093683434	61.3545055446	90.3205084578
135.0	51.9831971757	85.136892184	100.452981271	63.4637627558	93.3919754128
140.0	52.2357090295	81.4443824665	100.233391464	63.1272374901	96.8108548953
145.0	53.5383115244	80.7298393171	99.2105568262	58.6166442032	96.2917758682
150.0	53.9362540997	78.5317175815	98.7784087569	63.4013445232	97.6045855621
155.0	54.1805467864	79.0567737891	99.1338253271	63.7329092274	96.2379422951
160.0	52.1080880008	80.2124149435	99.199559515	59.3227507762	99.6090294953
165.0	51.8740968891	81.0894800711	101.834421003	57.4047283294	97.0203017129
170.0	51.9651049455	81.323409418	98.2191680179	59.8265970764	99.6158764557
175.0	51.8574349639	82.2395640535	99.8015598897	57.4990470355	97.7237755324
180.0	51.0655772539	83.8597517656	99.718577567	62.1488118665	97.2970121724
185.0	52.3630317123	83.2557953842	100.10550526	62.4421975025	94.9283733836
190.0	51.3086816111	80.4073482297	102.473340773	64.9217496941	97.5065809485
195.0	50.5630878814	82.4423360921	101.221779259	67.8058106082	97.8007566164
