# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	26.5730980755	51.3336757875	60.296443411	64.4465523022	55.7086855448
5.0	26.6832344077	54.0009468659	57.4061537305	65.9662093972	55.2704617232
10.0	26.5269659397	54.063311941	56.7115647503	66.9329758189	56.0490958225
15.0	27.0343506952	52.2778112986	58.6035444039	62.7850321947	55.5318305338
20.0	26.4957035084	52.1288284369	59.8977601599	69.7209392099	54.8997165211
25.0	26.297122876	53.0501711992	60.1278219192	69.2195191191	54.2185913089
30.0	26.8096139404	52.1854643821	59.4395601824	78.5641059908	53.7433139393
35.0	26.7188803369	53.0118069113	59.0945254596	80.2933617956	53.2360428468
40.0	26.8615790874	52.8613497987	58.595053423	78.4351216964	53.7364735531
45.0	27.5725363356	52.0416679307	58.991555227	71.6506894641	53.4556696078
50.0	27.110903901	53.4856909822	57.9831148608	68.8464340666	54.1230443051
55.0	27.806386216	52.7130552648	58.0898176239	69.3163287805	53.3617300053
60.0	27.3718771653	53.0876170024	57.105848621	68.338750909	54.8394840994
65.0	28.0975985684	52.6480385121	58.3314511952	69.7788200181	52.580600647
70.0	27.9589945623	51.2522181905	58.9341174002	75.2815710102	53.1608731588
75.0	27.2252277048	53.3490159487	58.8233490636	70.3791445694	53.1215904631
80.0	26.7744359251	53.78359011	58.0300267611	74.0655967914	53.9339366357
85.0	27.9247173773	52.1137275399	58.3100732282	73.2300090993	53.1347951905
90.0	27.4869881919	52.4058816817	59.2688252973	76.6020644236	52.517933477
95.0	27.6016918347	52.3805491722	58.1810676127	79.4884873749	53.0042563853
100.0	28.5129338421	50.36490409	59.0629053579	76.8352463106	52.6692247371
105.0	28.5556728481	50.7759541342	57.8212466731	73.3454583193	53.6390238276
110.0	28.1186962989	52.3183336281	57.1061526725	76.7675552584	53.2719973727
115.0	27.9555830365	52.9100367759	56.9770562903	77.220257121	53.0774375917
120.0	28.4703313591	52.5047230688	56.4537073807	76.8064005363	52.9657496768
125.0	26.9728776597	52.6033923599	58.6764263462	73.6996845817	54.1720998796
130.0	27.5100137762	52.841254972	57.2191978047	75.305905065	54.010955952
135.0	27.4335405966	52.899989399	58.2244160215	75.78015981	53.1529354411
140.0	27.1235664536	52.7974657319	58.442994992	73.9115072767	53.8655847442
145.0	26.6147595037	52.2970717548	59.5139118192	71.3418372498	54.6767115014
150.0	27.0580889136	53.2715920381	58.4780715765	75.1939066274	53.3625503616
155.0	27.4669848668	53.2711504172	57.5269664961	75.387874379	53.3818173376
160.0	27.1304479378	53.7246628104	57.0410394322	71.4973596575	54.4277865107
165.0	27.8664356375	52.6533905785	56.6019414667	72.3352355234	54.3383784405
170.0	27.2436673323	53.2307321273	58.3065311841	73.8407380644	53.3219736268
175.0	26.5424126368	51.7973196626	58.9823996749	76.743509302	55.2593510498
180.0	27.0792253403	53.5421131099	58.3188703543	76.2968455098	53.0827949292
185.0	27.6315957035	52.3038831918	57.2801445189	80.2899885714	53.7517841835
190.0	27.883356862	51.7099714006	58.76362306	77.1998964067	52.8160865471
195.0	27.4568752522	52.0010652615	58.6760217463	80.146733897	53.1619936968
