# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	29.7052707042	53.8288255955	54.9213892239	60.2399204092	52.2073997271
5.0	29.9646129452	53.2444223686	52.6467402546	64.4061510413	53.9036256453
10.0	29.4170783253	53.5290277142	53.1715439202	59.8079256445	54.7016076517
15.0	29.3798471035	53.0275693259	53.7414289973	57.8641727239	54.959047453
20.0	29.1685538807	52.4586018223	53.6588098426	60.1611801529	55.7951855076
25.0	29.5957136683	53.5330762814	52.475475753	63.3289835081	54.6146235846
30.0	29.5725257264	54.7880300766	52.4301988917	63.3260996789	53.4470944999
35.0	29.5294212206	54.5727649717	52.2510479492	64.9987429274	53.7425573134
40.0	29.2715065036	53.2789574559	52.6640252351	69.492258724	54.7311261152
45.0	29.7478818064	52.4090265238	53.5416043075	64.8351426564	54.3243020434
50.0	29.0991234705	52.630566729	54.3913003781	71.0837085886	54.0106980302
55.0	29.5557221162	52.3609789178	53.0850033419	67.5851656937	54.8925498217
60.0	30.1248969772	53.104897486	51.952902685	68.0052992774	53.9871949434
65.0	30.4826030532	53.2269853598	51.9005184011	63.7065979851	53.6266094051
70.0	29.8280562338	52.5474479969	54.551960892	72.7467508863	52.3249511248
75.0	30.0458459659	51.8400636593	53.3072120983	68.9659499907	54.0951111533
80.0	30.2874392281	53.1961412963	53.3605165937	69.964305303	52.1080720068
85.0	30.4142621261	53.3393614375	53.9282993588	62.2108372829	51.9756076577
90.0	30.3986910485	53.0945596905	54.8029896694	59.5161688723	51.7337482227
95.0	30.2879431248	53.9894941556	52.4025107978	62.364686727	52.935896229
100.0	30.7483864974	53.9924214083	52.66928389	63.5489962794	51.6535752732
105.0	30.5521684192	53.8666398987	53.142922216	62.3298064918	51.8674233721
110.0	30.5326666896	53.7721284128	53.4269171492	62.748254258	51.7034991737
115.0	30.9633873244	52.9210375686	53.3545682917	58.7126150989	52.1617938229
120.0	30.6417938114	53.8271788054	54.5884344819	59.2706008898	50.7325571034
125.0	30.2823905203	54.8602099191	54.3715242859	56.8612669957	50.8544929906
130.0	29.7299036208	54.431601184	56.1451563685	61.3545055446	50.3424976207
135.0	30.0828442536	53.6654680467	55.0636848566	63.4637627558	51.1651288341
140.0	29.8990138086	53.1517748197	54.4777757225	63.1272374901	52.607473069
145.0	30.0243123454	54.2648717461	51.682923609	58.6166442032	54.2102398152
150.0	30.5285438193	52.7007439122	53.0030316315	63.4013445232	53.0993511935
155.0	30.5432705387	53.2784505041	52.2018951132	63.7329092274	53.1800332799
160.0	29.6438353638	53.9312652274	53.0689795757	59.3227507762	53.986756766
165.0	30.2696402814	54.2313625944	52.7515528498	57.4047283294	52.9124624136
170.0	30.0054018935	54.4655838264	51.6698084676	59.8265970764	53.9381184396
175.0	29.5863374594	54.6361223354	52.7797440996	57.4990470355	53.839528232
180.0	29.9404556118	55.4795577935	53.1616393075	62.1488118665	51.4791996018
185.0	30.101600778	54.5469743827	53.018233224	62.4421975025	52.1891887253
190.0	29.2343832816	54.3425538738	54.0973237086	64.9217496941	52.908926056
195.0	29.0315531725	53.7631882521	54.1665266747	67.8058106082	53.5431980851
