# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	34.8393221023	57.6822906298	58.5884804968	73.5284676351	64.1668333303
5.0	33.9162443581	58.5113736922	59.0447364181	65.8234204545	65.5437564992
10.0	33.853428835	59.1905758175	58.6539916703	70.9219517068	64.8319772192
15.0	33.8632616238	59.9815133741	58.7167423929	71.4591735973	63.9112046732
20.0	33.7777254191	59.4488360078	58.899639178	67.1857028527	64.8777844912
25.0	33.8005949955	57.8316839447	60.0324714482	71.5336161435	64.9947882421
30.0	34.1903259482	59.4929206411	59.3760607137	70.2730791959	63.2709809967
35.0	33.836533282	59.4381191437	57.1681578744	78.0703079767	65.2406535692
40.0	34.2402828197	58.4273984406	57.8922788882	76.5935102872	64.939841196
45.0	35.5392280919	57.7209385515	57.6888948042	73.4231325211	63.5484270027
50.0	34.6653242609	58.3020434096	57.1915483683	77.3372418108	64.7715071046
55.0	34.7973791311	57.8082615856	56.8719130598	72.5556969577	65.7669741065
60.0	34.4292567911	56.5937015006	58.744871838	72.6015163577	66.0274452292
65.0	34.7087842331	59.3140237798	56.708516462	70.2285896854	64.8181315333
70.0	34.2869431883	58.1075703994	57.9023162949	77.7374814587	65.0429412402
75.0	33.6904784589	58.4109086432	58.8611799267	77.0536563726	65.1378974879
80.0	33.7832768136	59.4068889893	58.7902151547	77.4153774502	63.9840494812
85.0	35.026144281	58.3581743341	58.2492839731	82.9886735771	62.476546068
90.0	35.5049686055	57.0183203828	59.6028063586	79.5461511774	61.9847978826
95.0	35.1537285509	57.81140492	58.6813107385	72.7765022475	63.4005373209
100.0	34.151258051	58.7418042032	58.6818920611	70.612197107	64.6909782964
105.0	33.9299829597	59.0633813155	59.2654935378	68.6225708846	64.4857469791
110.0	35.1029669145	58.19213	59.3251112424	74.7988018552	62.3396004994
115.0	34.9078891644	59.3540541654	58.6583560044	71.3305808386	62.5147928658
120.0	34.8893228754	59.7336840156	57.9588644962	72.3783784105	62.6970950091
125.0	34.2431807607	60.362757231	59.339369108	76.6573188077	61.6899968874
130.0	34.6908975018	60.170002811	59.8686474862	66.7153211565	61.5051324107
135.0	35.0924114141	60.6268929536	58.160364536	72.3922716195	61.2149320349
140.0	35.2787378769	59.4102730022	58.6758328925	68.6994047288	61.9643139865
145.0	35.0185401706	59.4760083376	59.2731060108	69.306478968	61.8207209799
150.0	35.119132546	57.841259265	61.3890989012	70.5267628907	61.2279054378
155.0	35.324313808	57.9530363903	61.2387931394	65.4493310277	61.3487316356
160.0	35.3231270576	58.196916629	61.8737814167	68.6160784697	60.2191578645
165.0	35.5715311982	57.9236903049	60.5159891987	70.3853814721	61.0405588496
170.0	35.3387399861	58.2143010343	61.0776584531	67.5255170156	60.9960623428
175.0	35.7187378589	58.3241693253	59.7178461875	66.2422648047	61.4782779088
180.0	35.9391370897	57.9506277008	59.5305081582	71.6528682693	61.0385373782
185.0	35.5955276427	58.5403594686	57.8014897362	75.0005461019	62.3574573387
190.0	36.0158543841	58.1357637624	58.4442626624	73.9551636268	61.4473531474
195.0	34.8330105998	58.4171354247	60.3591774505	76.4028430723	61.5635783858
0.0	34.9256671807	58.1252957178	59.6428630663	72.410923962	62.7140091221
5.0	35.3618281546	57.1911249446	60.5219615768	76.8784364865	61.5378322317
10.0	35.8140404472	56.3111430266	59.2708858115	69.6449466757	63.3626872165
15.0	35.9829306511	56.8981509306	59.3754455771	75.228903727	61.7854664609
20.0	35.0831148169	58.8011615917	59.9590008103	75.2492920325	61.1547667868
25.0	35.8194846376	57.0600452848	60.6343243877	73.9689683265	60.9434139714
30.0	35.6366593381	58.3694945354	60.0833318613	75.3558171494	60.3567875103
35.0	36.2470715499	58.0513207206	58.2671887616	70.555933947	61.568901261
40.0	35.6983989133	58.3003486395	59.6454517997	72.7817745239	60.9539952943
45.0	36.0986755638	57.8999885608	57.5626131567	75.8638912586	62.1202027084
50.0	36.7024406522	58.1140490608	57.1487884447	73.8320574337	61.2742080465
55.0	35.927565935	56.261951678	58.1769351548	77.8758363492	63.3463209777
60.0	36.3509656957	56.4016278574	57.20509229	76.2877642532	63.3933704719
65.0	36.323588213	56.4615262371	56.7579214236	82.2352033942	63.1959395388
70.0	35.9928829217	57.4011113798	57.5056177239	79.4644538658	62.5219163196
75.0	35.9267491598	56.6317804815	56.9557315244	78.4047159767	64.024340127
80.0	36.1095952752	57.5706631736	56.7001392035	76.7561162618	63.1146350253
85.0	36.3975893459	57.7020765202	57.3902158823	72.8030605698	62.1814903622
90.0	36.7926068302	58.0016084547	57.0356128649	69.2240937004	61.7689541534
95.0	38.0224619861	57.4445021556	57.1530203135	70.6821065775	59.6149148677
100.0	38.2277947156	56.1803181732	55.8420612796	75.9634871084	61.1201463016
105.0	37.4959049274	57.6468574427	55.4621619013	76.6558911576	61.3901009629
110.0	36.6226114163	59.1213578127	56.8235041799	68.8387849279	61.2186335016
