# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	28.0488546127	55.5435104326	58.4305806393	74.9737369703	56.8947372158
5.0	29.0335946929	54.2727606269	58.6078163421	77.4690010142	55.7869760932
10.0	29.326309159	54.9499463798	58.1449933443	79.0619978947	54.7816417088
15.0	28.695131987	55.5931090784	58.9893663772	79.4905910055	54.5980686048
20.0	28.054344506	56.0896295438	59.5861593063	78.1814798109	54.9769204871
25.0	28.3738595515	56.0791104014	59.428284071	77.5190247144	54.5567416655
30.0	28.1943456807	56.7803696396	59.7778690245	80.1178517112	53.6399201049
35.0	29.1544483379	55.5533926152	58.9566885895	80.7071830079	53.6268358504
40.0	29.3686785858	56.2646158764	58.556859158	75.3244040748	53.3853262459
45.0	28.804195502	55.7151829683	59.2020164497	81.2012571865	53.8954140137
50.0	28.5238669485	55.537836476	59.6953219385	79.4017524484	54.3693867055
55.0	29.3308281191	55.3532312667	59.1987352727	76.7412722432	53.6529773829
60.0	28.2532179832	55.9040910915	59.036239335	79.6816274706	55.1094865475
65.0	28.1822161978	55.6842257544	60.1629348341	75.4576447828	54.8798696416
70.0	28.40012497	55.6702143493	58.3493585009	75.3042431544	56.1055468373
75.0	28.4190025816	55.5811185341	61.1029878226	72.2791662765	53.9811095432
80.0	28.8418693808	54.6033095042	61.5174786549	76.9868663393	53.269494551
85.0	28.8643681071	54.0583802943	60.4348929207	75.4299950533	54.8994098915
90.0	29.2772400246	56.2406248658	58.993451106	76.5005096648	53.0815676661
95.0	28.7205064463	55.0838448311	60.1296678553	72.9600482377	54.6833790143
100.0	28.5919169212	55.6658038445	60.8015006168	75.1793142368	53.5320329467
105.0	28.9837466175	55.2468939229	61.3166418501	70.3112754776	53.1903451622
110.0	28.7888951895	55.1664093605	61.1069773612	70.7673580302	53.8036455756
115.0	29.3673583827	54.4774310738	59.6530943866	77.8255317901	53.9384390594
120.0	29.1549930307	54.8584352849	60.4965710044	76.4382209563	53.3617794906
125.0	28.7095212857	54.4882866011	59.7784450134	77.4965285864	55.163272001
130.0	28.12394562	54.0303359273	60.9698659676	75.6926709012	55.9004515568
135.0	28.4539543206	54.9120610572	60.003590779	84.0701516545	54.3906002631
140.0	27.6817564596	55.6280902764	62.626293476	81.0122693708	53.1644226133
145.0	27.2836238024	54.7902775095	61.4456506025	79.6348185633	55.9988486881
150.0	27.7977601686	54.1142098508	61.2292126276	79.0194830579	55.9029666661
155.0	27.8936658786	55.4493183198	60.1378296066	76.3796204757	55.6222592534
160.0	27.3629833731	55.9315678923	59.6167935959	79.7556997351	56.3326530657
165.0	27.9473837897	54.5448210307	61.2240647236	80.1829036208	55.061288323
170.0	27.6078454733	54.5345697779	61.3426685252	85.4303137997	55.1192043657
175.0	27.3027095022	55.7502823074	61.2818993426	74.3381037926	55.6776346984
180.0	27.5305612147	54.160752132	61.5624914261	72.2127244909	56.7714538453
185.0	28.4746064641	54.4900021582	61.2989848998	68.2932304654	55.1832466405
190.0	27.4482874073	55.3286752717	62.1119647958	62.9018921697	56.2047135059
195.0	27.2280670245	56.0498482622	62.1203897369	59.3757055952	56.2689103959
0.0	27.72364345	53.3447244555	61.8910651856	66.3665156405	57.4902669196
5.0	27.8531272377	56.1138276127	58.910308586	68.4545911589	56.9361026053
10.0	27.6343135277	56.1719491327	58.3070097717	68.9003588857	57.8140071146
15.0	28.2986881938	54.2858079443	60.0128353191	64.7475085875	57.2514330825
20.0	27.7610410099	54.1825926632	61.4211452456	71.4101928393	56.4961929953
25.0	27.5667473715	54.9075695997	61.7087236205	71.085461476	55.9334096295
30.0	27.941031516	54.249398347	61.1196201125	80.3042453354	55.4513492057
35.0	27.9682976289	54.9943069458	60.6567889022	82.0696741755	54.8919155103
40.0	28.0187792314	54.8921897764	60.3131156866	80.1796196146	55.3914030258
45.0	28.7431185076	54.0902152172	60.6036668513	73.2322636457	55.177791839
50.0	28.3166782303	55.5828724634	59.5483994116	70.4658750356	55.7644889753
