# Time(ps)	Thickness
0.0	27.2060290527
5.0	26.8053515625
10.0	26.8103100586
15.0	26.7733239746
20.0	26.4359082031
25.0	26.7212036133
30.0	26.6668395996
35.0	26.6431640625
40.0	26.7854174805
45.0	26.6543908691
50.0	26.4304174805
55.0	26.6016162109
60.0	26.5312817383
65.0	26.6238183594
70.0	26.6608520508
75.0	26.537677002
80.0	26.5932568359
85.0	26.4817724609
90.0	26.3034802246
95.0	26.9383361816
100.0	26.8957312012
105.0	27.3123384608
110.0	26.4067028809
115.0	26.4276916504
120.0	26.364954834
125.0	26.4891674805
130.0	26.4628210449
135.0	26.33296875
140.0	26.8461914062
145.0	26.7337976074
150.0	26.6875927734
155.0	26.4433691406
160.0	26.4707324219
165.0	26.3191442871
170.0	26.4604699707
175.0	26.4904724121
180.0	26.5855749512
185.0	26.8446313477
190.0	26.4386743164
195.0	26.8535559082
200.0	26.6848291016
205.0	26.7010327148
210.0	26.8381555176
215.0	26.6375866699
220.0	27.1546337891
225.0	26.9481835938
230.0	26.9535314941
235.0	27.0686950684
240.0	26.6321520996
245.0	26.6366455078
250.0	26.730279541
255.0	26.8112011719
260.0	26.7556640625
265.0	26.6612878418
270.0	26.9233691406
275.0	26.9338024902
280.0	26.6489550781
285.0	26.5648803711
290.0	26.705246582
295.0	26.8434375
300.0	26.5763256836
305.0	26.819642334
310.0	26.9131079102
315.0	26.5566955566
320.0	26.9124536133
325.0	27.1424157715
330.0	27.156895752
335.0	26.8460498047
340.0	26.7756811523
345.0	26.8408007812
350.0	26.9456481934
355.0	26.7954846191
360.0	26.8013818359
365.0	27.4114508497
370.0	26.8633947754
375.0	26.7432409668
380.0	27.9018094434
385.0	27.8785476509
390.0	27.1491871355
395.0	26.542130127
400.0	27.5036259621
405.0	27.4935377227
410.0	26.979107666
415.0	27.6678811661
420.0	28.8716088928
425.0	27.8566553575
430.0	28.4257931015
435.0	28.4122931652
440.0	27.5679474182
445.0	27.7117377957
450.0	28.2650385147
455.0	27.7019157272
460.0	26.9032958984
465.0	27.3579218553
470.0	26.7997631836
475.0	26.6508496094
480.0	26.667442627
485.0	26.5585522461
490.0	26.8993933105
495.0	27.6253616681
500.0	26.7674438477
505.0	26.8945715332
510.0	26.8938305664
515.0	26.8421960449
520.0	26.9592285156
525.0	26.9785412598
530.0	26.7597021484
535.0	26.6005712891
540.0	26.6334387207
545.0	26.6115759277
550.0	26.4119641113
555.0	26.3964160156
560.0	26.8321582031
565.0	27.0394360352
570.0	26.7018518066
575.0	26.6084692383
580.0	26.5063720703
585.0	27.4458172429
590.0	27.4737971849
595.0	26.9622729492
600.0	26.6667053223
605.0	26.4672509766
610.0	26.3250231934
615.0	26.7301013184
620.0	26.4691125488
625.0	26.4287915039
630.0	26.6278137207
635.0	26.7967382813
640.0	26.7347375488
645.0	26.7485839844
650.0	26.6526306152
655.0	26.8497143555
660.0	26.8257263184
665.0	26.9036706543
670.0	26.865970459
675.0	26.5176477051
680.0	26.6348999023
685.0	26.8130444336
690.0	26.6318579102
695.0	26.4199584961
700.0	26.8549267578
705.0	27.0876721191
710.0	26.6626037598
715.0	27.0820080566
720.0	26.8903942871
725.0	26.9271618652
730.0	26.9461633301
735.0	26.6493554688
740.0	26.5383203125
